date_time,w_fw_pot,w_wssc_pot,w_wa_gf,w_wa_lf,w_lw_pot,lw_fw,w_fw_occ,w_wssc_pat,disch_lw_pot,wnet_wma_pot,w_wa,w_lw_br,w_pot_total,w_pot_total_net
2021-07-01,99.63,126.82,150.38,0,15.58,12.19,75.76,57.11,5.59,386.82,150.38,-5.59,392.40999999999997,386.82
2021-07-02,89.815,113.22999999999999,143.315,0,8.06,21.375,73.355,57.379999999999995,5.539072164948453,348.8809278350515,143.315,-5.539072164948453,354.42,348.8809278350516
2021-07-03,83.655,105.63,91.875,0,10.93,21.119999999999997,70.405,57.91,5.206082474226804,286.8839175257732,91.875,-5.206082474226804,292.09,286.8839175257732
2021-07-04,89.285,107.465,89.19,0,23.310000000000002,12.015,70.845,58.235,4.83,304.42,89.19,-4.83,309.25,304.42
2021-07-05,107.265,113.185,132.04500000000002,0,26.405,11.51,72.265,58.26,4.453917525773196,374.4460824742268,132.04500000000002,-4.453917525773196,378.9,374.4460824742268
2021-07-06,118.16999999999999,125.54,136.89,0,19.950000000000003,17.94,72.905,56.724999999999994,4.120927835051547,396.4290721649484,136.89,-4.120927835051547,400.54999999999995,396.4290721649484
2021-07-07,125.185,131.14,149.16,0,18.33,20.795,77.81,57.56999999999999,4.205,419.61,149.16,-4.205,423.815,419.61
2021-07-08,113.2,123.775,154.315,0,20.725,13.635,80.78,60.43,5.01,407.005,154.315,-5.01,412.015,407.005
2021-07-09,90.4,115.095,146.23000000000002,0,14.235,14.31,74.32,60.14,5.66,360.30000000000007,146.23000000000002,-5.66,365.96000000000004,360.3
2021-07-10,92.89500000000001,114.19,135.81,0,13.754999999999999,14.34,70.88,59.36,5.8149999999999995,350.83500000000004,135.81,-5.8149999999999995,356.65,350.835
2021-07-11,97.4,116.22,132.685,0,13.635,16.595,72.14500000000001,59.335,5.485,354.45500000000004,132.685,-5.485,359.94,354.455
2021-07-12,116.38,132.06,141.16500000000002,0,11.18,24.299999999999997,74.33500000000001,60.405,4.845000000000001,395.94000000000005,141.16500000000002,-4.845000000000001,400.785,395.94
2021-07-13,128.58,140.815,149.815,0,11.495000000000001,26.485,78.155,56.465,4.665,426.04,149.815,-4.665,430.705,426.03999999999996
2021-07-14,128.845,140.85500000000002,158.755,0,12.145,26.805,78.89500000000001,53.394999999999996,4.855,435.745,158.755,-4.855,440.6,435.745
2021-07-15,121.29,135.75,157.27499999999998,0,21.105,19.02,57.07,54.435,4.9132,430.5068,157.27499999999998,-4.9132,435.42,430.5068
2021-07-16,122.675,135.85,141.48,0,24.86,11.219999999999999,43.035,57.754999999999995,3.9068,420.9581999999999,141.48,-3.9068,424.865,420.95820000000003
2021-07-17,124.60499999999999,137.255,123.245,0,15.59,14.524999999999999,63.565,60.79,4,396.69499999999994,123.245,-4,400.695,396.695
2021-07-18,109.185,124.88,130.31,0,13.760000000000002,14.489999999999998,76.65,55.7,4.545,373.59000000000003,130.31,-4.545,378.135,373.59
2021-07-19,147.78,125.865,146.56,0,14.04,15.940000000000001,76.08500000000001,57.6,4.33,429.915,146.56,-4.33,434.24500000000006,429.9150000000001
2021-07-20,194.195,128.28,146.665,0,16.79,15.635000000000002,76.04,61.105000000000004,3.665,482.265,146.665,-3.665,485.93,482.265
2021-07-21,188.65,134.43,151.98000000000002,0,24.22,12.685,76.04,60.89,3.54,495.74,151.98000000000002,-3.54,499.28,495.73999999999995
2021-07-22,153.18,131.19,146.52,0,19.015,19.125,77.03,57.53,3.695,446.21000000000004,146.52,-3.695,449.90500000000003,446.21000000000004
2021-07-23,129.55,130.07,141.69,0,18.915,17.735,77.965,49.815,3.775,416.44999999999993,141.69,-3.775,420.225,416.45000000000005
2021-07-24,128.70499999999998,136.6,108.57,0,19.615000000000002,17.31,78.025,51.88,3.81,389.67999999999995,108.57,-3.81,393.49,389.68
2021-07-25,121.615,134.59,108.57,0,12.28,25.045,78.16499999999999,53.885000000000005,3.715,373.34,108.57,-3.715,377.05499999999995,373.34
2021-07-26,133.4,133.995,141.725,0,21.085,19.155,78.07499999999999,53.455,3.4450000000000003,426.76,141.725,-3.4450000000000003,430.205,426.76
2021-07-27,135.805,133.315,141.12,0,21.119999999999997,19.3,76.275,53.39,3.285,428.07500000000005,141.12,-3.285,431.36,428.075
2021-07-28,130.7,136.995,138.375,0,12.015,29.5,77.32,53.334999999999994,3.21,414.875,138.375,-3.21,418.085,414.875
2021-07-29,124.315,128.075,139.33499999999998,0,11.51,27.575000000000003,78.045,54.675,3.5999999999999996,399.635,139.33499999999998,-3.5999999999999996,403.23499999999996,399.63499999999993
2021-07-30,130.67000000000002,117.55,145.12,0,11.165,25.83,76.04,53.974999999999994,4.035,400.47,145.12,-4.035,404.50500000000005,400.47
2021-07-31,150.08499999999998,121.97,132.12,0,11.35,26.27,76.04,55.295,4.699999999999999,410.82500000000005,132.12,-4.699999999999999,415.525,410.825
2021-08-01,159.105,64.36,122.03999999999999,0,17.155,17.85,76.04,28.345,5.35,357.30999999999995,122.03999999999999,-5.35,362.65999999999997,357.30999999999995
2021-08-02,166.27499999999998,90.75,119.685,0,23.09,11.04,76.04,0,5.35,394.45,119.685,-5.35,399.79999999999995,394.44999999999993
2021-08-03,165.7,181.22,116.55000000000001,0,23.09,11.04,76.04,0,5.35,481.21000000000004,116.55000000000001,-5.35,486.56,481.21
2021-08-04,163.015,178.6,115.23500000000001,0,22.619999999999997,11.04,76.04,0,5.35,474.12,115.23500000000001,-5.35,479.47,474.12
2021-08-05,166.29000000000002,182.98,117.09,0,22.939999999999998,11.04,76.04,0,5.35,483.94999999999993,117.09,-5.35,489.3,483.95
2021-08-06,161.64499999999998,185.92,111.805,0,21.805,11.04,76.04,0,5.35,475.82499999999993,111.805,-5.35,481.175,475.825
