date,lfalls,date_fc,length_fc
2021-06-22,NA,2021-07-21,-29
2021-06-23,4536.716666666667,2021-07-21,-28
2021-06-24,4450.791666666668,2021-07-21,-27
2021-06-25,3916.7435897435894,2021-07-21,-26
2021-06-26,3586.7788461538466,2021-07-21,-25
2021-06-27,3278.281666666666,2021-07-21,-24
2021-06-28,2994.383333333333,2021-07-21,-23
2021-06-29,2710.9230769230767,2021-07-21,-22
2021-06-30,2523.089743589743,2021-07-21,-21
2021-07-01,2452.916666666667,2021-07-21,-20
2021-07-02,2977.7094017094023,2021-07-21,-19
2021-07-03,3593.939814814815,2021-07-21,-18
2021-07-04,2903.625,2021-07-21,-17
2021-07-05,2747.375,2021-07-21,-16
2021-07-06,2604.083333333334,2021-07-21,-15
2021-07-07,2442,2021-07-21,-14
2021-07-08,2459.661666666667,2021-07-21,-13
2021-07-09,2521.9783333333335,2021-07-21,-12
2021-07-10,2739.241666666667,2021-07-21,-11
2021-07-11,2644.5633333333335,2021-07-21,-10
2021-07-12,2308.541666666667,2021-07-21,-9
2021-07-13,2245.9300000000003,2021-07-21,-8
2021-07-14,3129.663448275862,2021-07-21,-7
2021-07-15,2303.734195402299,2021-07-21,-6
2021-07-16,2612.7083333333335,2021-07-21,-5
2021-07-17,2342.916666666666,2021-07-21,-4
2021-07-18,2437.826666666667,2021-07-21,-3
2021-07-19,2555.9066666666668,2021-07-21,-2
2021-07-20,2571.25641025641,2021-07-21,-1
2021-07-21,2455.830128205128,2021-07-21,0
2021-07-22,NA,2021-07-21,1
2021-07-23,NA,2021-07-21,2
2021-07-24,NA,2021-07-21,3
