date,lfalls,date_fc,length_fc
2021-04-05,7880,2021-05-05,-30
2021-04-06,7576,2021-05-05,-29
2021-04-07,7141,2021-05-05,-28
2021-04-08,6680,2021-05-05,-27
2021-04-09,6448,2021-05-05,-26
2021-04-10,6405,2021-05-05,-25
2021-04-11,6199,2021-05-05,-24
2021-04-12,6615,2021-05-05,-23
2021-04-13,8227,2021-05-05,-22
2021-04-14,10469,2021-05-05,-21
2021-04-15,11934,2021-05-05,-20
2021-04-16,11224,2021-05-05,-19
2021-04-17,9782,2021-05-05,-18
2021-04-18,8602,2021-05-05,-17
2021-04-19,7888,2021-05-05,-16
2021-04-20,7397,2021-05-05,-15
2021-04-21,6962,2021-05-05,-14
2021-04-22,6543,2021-05-05,-13
2021-04-23,6199,2021-05-05,-12
2021-04-24,6199,2021-05-05,-11
2021-04-25,6273,2021-05-05,-10
2021-04-26,6338,2021-05-05,-9
2021-04-27,6199,2021-05-05,-8
2021-04-28,6309,2021-05-05,-7
2021-04-29,6332,2021-05-05,-6
2021-04-30,6306,2021-05-05,-5
2021-05-01,5948,2021-05-05,-4
2021-05-02,5532,2021-05-05,-3
2021-05-03,5152,2021-05-05,-2
2021-05-04,5187,2021-05-05,-1
2021-05-05,5505,2021-05-05,0
2021-05-06,5539,2021-05-05,1
2021-05-07,5441,2021-05-05,2
2021-05-08,5506,2021-05-05,3
2021-05-09,5675,2021-05-05,4
2021-05-10,6188,2021-05-05,5
2021-05-11,6850,2021-05-05,6
2021-05-12,7254,2021-05-05,7
2021-05-13,8819,2021-05-05,8
2021-05-14,10201,2021-05-05,9
2021-05-15,9749,2021-05-05,10
2021-05-16,8867,2021-05-05,11
2021-05-17,8082,2021-05-05,12
2021-05-18,7435,2021-05-05,13
2021-05-19,6949,2021-05-05,14
2021-05-20,16512,2021-05-05,15
2021-05-21,NA,2021-05-05,16
2021-05-22,NA,2021-05-05,17
2021-05-23,NA,2021-05-05,18
2021-05-24,NA,2021-05-05,19
2021-05-25,NA,2021-05-05,20
2021-05-26,NA,2021-05-05,21
2021-05-27,NA,2021-05-05,22
2021-05-28,NA,2021-05-05,23
2021-05-29,NA,2021-05-05,24
2021-05-30,NA,2021-05-05,25
2021-05-31,NA,2021-05-05,26
2021-06-01,NA,2021-05-05,27
2021-06-02,NA,2021-05-05,28
2021-06-03,NA,2021-05-05,29
2021-06-04,NA,2021-05-05,30
2021-06-05,NA,2021-05-05,31
2021-06-06,NA,2021-05-05,32
2021-06-07,NA,2021-05-05,33
2021-06-08,NA,2021-05-05,34
2021-06-09,NA,2021-05-05,35
2021-06-10,NA,2021-05-05,36
2021-06-11,NA,2021-05-05,37
2021-06-12,NA,2021-05-05,38
2021-06-13,NA,2021-05-05,39
2021-06-14,NA,2021-05-05,40
2021-06-15,NA,2021-05-05,41
2021-06-16,NA,2021-05-05,42
2021-06-17,NA,2021-05-05,43
2021-06-18,NA,2021-05-05,44
2021-06-19,NA,2021-05-05,45
2021-06-20,NA,2021-05-05,46
2021-06-21,NA,2021-05-05,47
2021-06-22,NA,2021-05-05,48
2021-06-23,NA,2021-05-05,49
2021-06-24,NA,2021-05-05,50
2021-06-25,NA,2021-05-05,51
2021-06-26,NA,2021-05-05,52
2021-06-27,NA,2021-05-05,53
2021-06-28,NA,2021-05-05,54
2021-06-29,NA,2021-05-05,55
2021-06-30,NA,2021-05-05,56
2021-07-01,NA,2021-05-05,57
2021-07-02,NA,2021-05-05,58
2021-07-03,NA,2021-05-05,59
2021-07-04,NA,2021-05-05,60
2021-07-05,NA,2021-05-05,61
2021-07-06,NA,2021-05-05,62
2021-07-07,NA,2021-05-05,63
2021-07-08,NA,2021-05-05,64
2021-07-09,NA,2021-05-05,65
2021-07-10,NA,2021-05-05,66
2021-07-11,NA,2021-05-05,67
2021-07-12,NA,2021-05-05,68
2021-07-13,NA,2021-05-05,69
2021-07-14,NA,2021-05-05,70
2021-07-15,NA,2021-05-05,71
2021-07-16,NA,2021-05-05,72
2021-07-17,NA,2021-05-05,73
2021-07-18,NA,2021-05-05,74
2021-07-19,NA,2021-05-05,75
2021-07-20,NA,2021-05-05,76
2021-07-21,NA,2021-05-05,77
2021-07-22,NA,2021-05-05,78
2021-07-23,NA,2021-05-05,79
2021-07-24,NA,2021-05-05,80
2021-07-25,NA,2021-05-05,81
2021-07-26,NA,2021-05-05,82
2021-07-27,NA,2021-05-05,83
2021-07-28,NA,2021-05-05,84
2021-07-29,NA,2021-05-05,85
2021-07-30,NA,2021-05-05,86
2021-07-31,NA,2021-05-05,87
2021-08-01,NA,2021-05-05,88
2021-08-02,NA,2021-05-05,89
2021-08-03,NA,2021-05-05,90
2021-08-04,NA,2021-05-05,91
2021-08-05,NA,2021-05-05,92
2021-08-06,NA,2021-05-05,93
2021-08-07,NA,2021-05-05,94
2021-08-08,NA,2021-05-05,95
2021-08-09,NA,2021-05-05,96
2021-08-10,NA,2021-05-05,97
2021-08-11,NA,2021-05-05,98
2021-08-12,NA,2021-05-05,99
2021-08-13,NA,2021-05-05,100
2021-08-14,NA,2021-05-05,101
2021-08-15,NA,2021-05-05,102
2021-08-16,NA,2021-05-05,103
2021-08-17,NA,2021-05-05,104
2021-08-18,NA,2021-05-05,105
2021-08-19,NA,2021-05-05,106
2021-08-20,NA,2021-05-05,107
2021-08-21,NA,2021-05-05,108
2021-08-22,NA,2021-05-05,109
2021-08-23,NA,2021-05-05,110
2021-08-24,NA,2021-05-05,111
2021-08-25,NA,2021-05-05,112
2021-08-26,NA,2021-05-05,113
2021-08-27,NA,2021-05-05,114
2021-08-28,NA,2021-05-05,115
2021-08-29,NA,2021-05-05,116
2021-08-30,NA,2021-05-05,117
2021-08-31,NA,2021-05-05,118
2021-09-01,NA,2021-05-05,119
2021-09-02,NA,2021-05-05,120
2021-09-03,NA,2021-05-05,121
2021-09-04,NA,2021-05-05,122
2021-09-05,NA,2021-05-05,123
2021-09-06,NA,2021-05-05,124
2021-09-07,NA,2021-05-05,125
2021-09-08,NA,2021-05-05,126
2021-09-09,NA,2021-05-05,127
