date,lfalls,date_fc,length_fc
2021-05-02,4161,2021-06-01,-30
2021-05-03,3836,2021-06-01,-29
2021-05-04,3839,2021-06-01,-28
2021-05-05,4333,2021-06-01,-27
2021-05-06,4341,2021-06-01,-26
2021-05-07,4608,2021-06-01,-25
2021-05-08,5224,2021-06-01,-24
2021-05-09,5522,2021-06-01,-23
2021-05-10,5700,2021-06-01,-22
2021-05-11,5711,2021-06-01,-21
2021-05-12,5219,2021-06-01,-20
2021-05-13,4771,2021-06-01,-19
2021-05-14,4442,2021-06-01,-18
2021-05-15,4139,2021-06-01,-17
2021-05-16,3819,2021-06-01,-16
2021-05-17,3494,2021-06-01,-15
2021-05-18,3187,2021-06-01,-14
2021-05-19,2915,2021-06-01,-13
2021-05-20,2675,2021-06-01,-12
2021-05-21,2472,2021-06-01,-11
2021-05-22,2308,2021-06-01,-10
2021-05-23,2163,2021-06-01,-9
2021-05-24,2103,2021-06-01,-8
2021-05-25,2095,2021-06-01,-7
2021-05-26,2058,2021-06-01,-6
2021-05-27,2264,2021-06-01,-5
2021-05-28,2016,2021-06-01,-4
2021-05-29,3057,2021-06-01,-3
2021-05-30,2879,2021-06-01,-2
2021-05-31,2724,2021-06-01,-1
2021-06-01,2613,2021-06-01,0
2021-06-02,2565,2021-06-01,1
2021-06-03,2633,2021-06-01,2
2021-06-04,2765,2021-06-01,3
2021-06-05,2717,2021-06-01,4
2021-06-06,2558,2021-06-01,5
2021-06-07,2364,2021-06-01,6
2021-06-08,2160,2021-06-01,7
2021-06-09,1987,2021-06-01,8
2021-06-10,1830,2021-06-01,9
2021-06-11,1688,2021-06-01,10
2021-06-12,1563,2021-06-01,11
2021-06-13,1433,2021-06-01,12
2021-06-14,1330,2021-06-01,13
2021-06-15,1502,2021-06-01,14
2021-06-16,6743,2021-06-01,15
