date,lfalls,date_fc,length_fc
2014-01-01,NA,2021-07-23,-2760
2014-01-02,NA,2021-07-23,-2759
2014-01-03,NA,2021-07-23,-2758
2014-01-04,NA,2021-07-23,-2757
2014-01-05,NA,2021-07-23,-2756
2014-01-06,NA,2021-07-23,-2755
2014-01-07,NA,2021-07-23,-2754
2014-01-08,NA,2021-07-23,-2753
2014-01-09,NA,2021-07-23,-2752
2014-01-10,NA,2021-07-23,-2751
2014-01-11,NA,2021-07-23,-2750
2014-01-12,NA,2021-07-23,-2749
2014-01-13,NA,2021-07-23,-2748
2014-01-14,NA,2021-07-23,-2747
2014-01-15,NA,2021-07-23,-2746
2014-01-16,NA,2021-07-23,-2745
2014-01-17,NA,2021-07-23,-2744
2014-01-18,NA,2021-07-23,-2743
2014-01-19,NA,2021-07-23,-2742
2014-01-20,NA,2021-07-23,-2741
2014-01-21,NA,2021-07-23,-2740
2014-01-22,NA,2021-07-23,-2739
2014-01-23,NA,2021-07-23,-2738
2014-01-24,NA,2021-07-23,-2737
2014-01-25,NA,2021-07-23,-2736
2014-01-26,NA,2021-07-23,-2735
2014-01-27,NA,2021-07-23,-2734
2014-01-28,NA,2021-07-23,-2733
2014-01-29,NA,2021-07-23,-2732
2014-01-30,NA,2021-07-23,-2731
2014-01-31,NA,2021-07-23,-2730
2014-02-01,NA,2021-07-23,-2729
2014-02-02,NA,2021-07-23,-2728
2014-02-03,NA,2021-07-23,-2727
2014-02-04,NA,2021-07-23,-2726
2014-02-05,NA,2021-07-23,-2725
2014-02-06,NA,2021-07-23,-2724
2014-02-07,NA,2021-07-23,-2723
2014-02-08,NA,2021-07-23,-2722
2014-02-09,NA,2021-07-23,-2721
2014-02-10,NA,2021-07-23,-2720
2014-02-11,NA,2021-07-23,-2719
2014-02-12,NA,2021-07-23,-2718
2014-02-13,NA,2021-07-23,-2717
2014-02-14,NA,2021-07-23,-2716
2014-02-15,NA,2021-07-23,-2715
2014-02-16,NA,2021-07-23,-2714
2014-02-17,NA,2021-07-23,-2713
2014-02-18,NA,2021-07-23,-2712
2014-02-19,NA,2021-07-23,-2711
2014-02-20,NA,2021-07-23,-2710
2014-02-21,NA,2021-07-23,-2709
2014-02-22,NA,2021-07-23,-2708
2014-02-23,NA,2021-07-23,-2707
2014-02-24,NA,2021-07-23,-2706
2014-02-25,NA,2021-07-23,-2705
2014-02-26,NA,2021-07-23,-2704
2014-02-27,NA,2021-07-23,-2703
2014-02-28,NA,2021-07-23,-2702
2014-03-01,NA,2021-07-23,-2701
2014-03-02,NA,2021-07-23,-2700
2014-03-03,NA,2021-07-23,-2699
2014-03-04,NA,2021-07-23,-2698
2014-03-05,NA,2021-07-23,-2697
2014-03-06,NA,2021-07-23,-2696
2014-03-07,NA,2021-07-23,-2695
2014-03-08,NA,2021-07-23,-2694
2014-03-09,NA,2021-07-23,-2693
2014-03-10,NA,2021-07-23,-2692
2014-03-11,NA,2021-07-23,-2691
2014-03-12,NA,2021-07-23,-2690
2014-03-13,NA,2021-07-23,-2689
2014-03-14,NA,2021-07-23,-2688
2014-03-15,NA,2021-07-23,-2687
