julian,wssc_pot,wa_tot,fw_lw_purchased_pot,lw_pot
1,112,115,64,12
2,112,114,64,12
3,112,114,64,12
4,112,114,64,12
5,112,114,64,12
6,111,114,64,12
7,111,114,64,12
8,111,114,64,12
9,111,114,65,12
10,110,121,67,12
11,111,122,67,12
12,111,122,67,12
13,110,122,67,12
14,111,122,67,12
15,110,123,66,12
16,110,123,66,12
17,110,123,66,12
18,110,123,66,12
19,109,123,66,12
20,109,123,66,12
21,109,123,66,12
22,109,123,66,12
23,109,123,66,12
24,109,124,66,12
25,109,124,66,12
26,109,124,65,12
27,109,124,65,12
28,109,125,65,12
29,109,124,65,12
30,109,125,65,12
31,108,125,65,12
32,108,125,65,12
33,108,125,65,12
34,108,125,64,12
35,108,125,64,12
36,108,124,64,12
37,108,124,64,12
38,107,124,64,12
39,107,124,64,12
40,107,124,64,12
41,107,124,64,12
42,107,124,63,12
43,107,124,63,12
44,107,124,63,12
45,107,123,63,12
46,107,123,63,12
47,107,123,63,12
48,107,122,63,12
49,107,122,63,12
50,107,122,63,12
51,107,122,63,12
52,107,122,63,12
53,107,121,63,12
54,107,121,63,12
55,107,121,63,12
56,107,121,63,12
57,107,121,63,12
58,108,121,63,12
59,107,121,63,12
60,108,121,63,12
61,108,121,63,12
62,108,120,63,12
63,108,120,63,12
64,108,120,63,12
65,108,120,63,12
66,108,120,63,12
67,108,120,63,12
68,108,120,63,12
69,108,120,63,12
70,108,120,63,12
71,109,120,63,12
72,109,120,63,12
73,109,120,63,12
74,109,120,63,12
75,109,120,63,12
76,109,120,63,12
77,109,120,63,12
78,109,120,63,12
79,109,120,63,12
80,109,120,63,12
81,109,120,63,12
82,109,120,63,12
83,109,120,63,12
84,110,120,63,12
85,110,120,64,12
86,110,120,64,12
87,110,120,64,12
88,110,120,64,12
89,110,120,65,12
90,110,120,65,12
91,110,120,66,12
92,110,121,66,12
93,110,121,67,12
94,110,121,67,12
95,111,121,68,12
96,111,121,68,12
97,111,122,69,12
98,111,122,70,12
99,111,122,70,12
100,111,123,71,12
101,111,123,71,12
102,111,123,72,12
103,111,123,72,12
104,111,124,72,12
105,111,124,73,12
106,111,124,73,12
107,111,124,74,12
108,111,124,74,12
109,112,125,75,12
110,112,125,75,12
111,112,125,75,12
112,112,125,76,12
113,113,125,76,12
114,113,125,77,12
115,113,126,77,12
116,113,126,77,12
117,114,126,78,12
118,114,126,78,12
119,115,126,78,12
120,115,126,79,12
121,115,126,79,12
122,115,126,80,12
123,116,126,80,12
124,116,126,80,12
125,115,126,81,12
126,116,127,81,12
127,116,127,81,12
128,116,127,81,12
129,116,127,81,12
130,116,127,82,12
131,116,127,82,12
132,115,127,82,12
133,116,127,82,12
134,116,127,82,12
135,116,127,83,12
136,116,127,83,12
137,116,127,83,12
138,116,127,83,12
139,116,128,84,12
140,116,128,84,12
141,117,128,85,12
142,117,129,85,12
143,118,129,86,12
144,118,130,86,12
145,118,130,86,12
146,118,130,87,12
147,118,130,87,12
148,118,131,88,12
149,119,131,89,12
150,119,132,89,12
151,119,132,90,12
152,119,133,90,12
153,119,134,91,12
154,120,134,92,12
155,120,135,92,12
156,120,136,93,12
157,120,136,93,12
158,121,137,94,12
159,121,137,95,12
160,121,138,95,12
161,121,138,95,12
162,120,138,95,12
163,121,138,96,12
164,121,139,97,12
165,122,140,97,12
166,122,140,98,12
167,123,141,99,12
168,123,141,100,12
169,124,142,100,12
170,124,142,101,12
171,124,142,101,12
172,124,142,102,12
173,125,142,102,12
174,125,142,102,12
175,125,142,103,12
176,125,142,103,12
177,125,142,103,12
178,125,142,103,12
179,125,143,104,12
180,125,143,104,12
181,126,143,105,12
182,126,144,105,12
183,126,144,105,12
184,127,144,106,12
185,127,145,106,12
186,127,145,106,12
187,127,145,107,12
188,127,146,107,12
189,128,146,107,12
190,128,147,108,12
191,129,147,108,12
192,129,148,109,12
193,130,148,109,12
194,130,149,109,12
195,131,150,109,12
196,131,150,110,12
197,132,151,110,12
198,132,151,111,12
199,132,151,110,12
200,132,151,110,12
201,131,151,110,12
202,132,151,110,12
203,132,151,110,12
204,131,151,110,12
205,132,151,110,12
206,132,151,110,12
207,132,151,110,12
208,132,150,110,12
209,131,150,110,12
210,131,150,109,12
211,130,149,109,12
212,130,149,109,12
213,130,148,108,12
214,129,148,108,12
215,129,148,108,12
216,129,148,108,12
217,129,147,108,12
218,128,147,108,12
219,128,147,108,12
