"","DateTime","site","flow"
"1","2019-10-14 00:00:00","FW",101.29
"2","2019-10-14 01:00:00","FW",101.29
"3","2019-10-14 02:00:00","FW",101.29
"4","2019-10-14 03:00:00","FW",101.29
"5","2019-10-14 04:00:00","FW",101.29
"6","2019-10-14 05:00:00","FW",101.29
"7","2019-10-14 06:00:00","FW",101.29
"8","2019-10-14 07:00:00","FW",101.29
"9","2019-10-14 08:00:00","FW",101.29
"10","2019-10-14 09:00:00","FW",101.29
"11","2019-10-14 10:00:00","FW",101.29
"12","2019-10-14 11:00:00","FW",101.29
"13","2019-10-14 12:00:00","FW",101.29
"14","2019-10-14 13:00:00","FW",101.29
"15","2019-10-14 14:00:00","FW",101.29
"16","2019-10-14 15:00:00","FW",101.29
"17","2019-10-14 16:00:00","FW",101.29
"18","2019-10-14 17:00:00","FW",101.29
"19","2019-10-14 18:00:00","FW",101.29
"20","2019-10-14 19:00:00","FW",101.29
"21","2019-10-14 20:00:00","FW",101.29
"22","2019-10-14 21:00:00","FW",101.29
"23","2019-10-14 22:00:00","FW",101.29
"24","2019-10-14 23:00:00","FW",101.29
"25","2019-10-15 00:00:00","FW",118.98
"26","2019-10-15 01:00:00","FW",118.98
"27","2019-10-15 02:00:00","FW",118.98
"28","2019-10-15 03:00:00","FW",118.98
"29","2019-10-15 04:00:00","FW",118.98
"30","2019-10-15 05:00:00","FW",118.98
"31","2019-10-15 06:00:00","FW",118.98
"32","2019-10-15 07:00:00","FW",118.98
"33","2019-10-15 08:00:00","FW",118.98
"34","2019-10-15 09:00:00","FW",118.98
"35","2019-10-15 10:00:00","FW",118.98
"36","2019-10-15 11:00:00","FW",118.98
"37","2019-10-15 12:00:00","FW",118.98
"38","2019-10-15 13:00:00","FW",118.98
"39","2019-10-15 14:00:00","FW",118.98
"40","2019-10-15 15:00:00","FW",118.98
"41","2019-10-15 16:00:00","FW",118.98
"42","2019-10-15 17:00:00","FW",118.98
"43","2019-10-15 18:00:00","FW",118.98
"44","2019-10-15 19:00:00","FW",118.98
"45","2019-10-15 20:00:00","FW",118.98
"46","2019-10-15 21:00:00","FW",118.98
"47","2019-10-15 22:00:00","FW",118.98
"48","2019-10-15 23:00:00","FW",118.98
"49","2019-10-16 00:00:00","FW",104.65
"50","2019-10-16 01:00:00","FW",104.65
"51","2019-10-16 02:00:00","FW",104.65
"52","2019-10-16 03:00:00","FW",104.65
"53","2019-10-16 04:00:00","FW",104.65
"54","2019-10-16 05:00:00","FW",104.65
"55","2019-10-16 06:00:00","FW",104.65
"56","2019-10-16 07:00:00","FW",104.65
"57","2019-10-16 08:00:00","FW",104.65
"58","2019-10-16 09:00:00","FW",104.65
"59","2019-10-16 10:00:00","FW",104.65
"60","2019-10-16 11:00:00","FW",104.65
"61","2019-10-16 12:00:00","FW",104.65
"62","2019-10-16 13:00:00","FW",104.65
"63","2019-10-16 14:00:00","FW",104.65
"64","2019-10-16 15:00:00","FW",104.65
"65","2019-10-16 16:00:00","FW",104.65
"66","2019-10-16 17:00:00","FW",104.65
"67","2019-10-16 18:00:00","FW",104.65
"68","2019-10-16 19:00:00","FW",104.65
"69","2019-10-16 20:00:00","FW",104.65
"70","2019-10-16 21:00:00","FW",104.65
"71","2019-10-16 22:00:00","FW",104.65
"72","2019-10-16 23:00:00","FW",104.65
"73","2019-10-17 00:00:00","FW",98.56
