date_time,storage,storage_ws,storage_wq,inflow,withdr,outflow,outflow_ws,outflow_wq,withdr_req,rel_req,ws_rel_req,wq_rel_req,available
2019-01-01,19795,13000,8000,234.2,0,120,0,120,0,300,0,120,20029.2
2019-01-02,19909.2,12576.1688,7333.0312,211.3,0,325.5,0,77.6,0,77.6,0,77.6,20120.5
2019-01-03,19795,12576.1688,7218.8312,200.4,0,970,0,970,0,970,0,970,19995.4
2019-01-04,19025.4,12576.1688,6449.2312,229,0,200,0,200,0,200,0,200,19254.4
2019-01-05,19054.4,12576.1688,6478.2312,330,0,200,0,200,0,200,0,200,19384.4
2019-01-06,19184.4,12576.1688,6608.2312,391.3,0,200,0,200,0,200,0,200,19575.7
2019-01-07,19375.7,12576.1688,6799.5312,492.4,0,200,0,200,0,200,0,200,19868.1
2019-01-08,19668.1,12576.1688,7091.9312,3051,0,2924.1,0,200,0,200,0,200,22719.1
2019-01-09,19795,12576.1688,7218.8312,1426.2,0,1426.2,0,200,0,200,0,200,21221.2
2019-01-10,19795,12576.1688,7218.8312,998.1,0,998.1,0,200,0,200,0,200,20793.1
2019-01-11,19795,12576.1688,7218.8312,790,0,790,0,200,0,200,0,200,20585
2019-01-12,19795,12576.1688,7218.8312,595.8,0,595.8,0,200,0,200,0,200,20390.8
2019-01-13,19795,12576.1688,7218.8312,533.4,0,533.4,0,200,0,200,0,200,20328.4
2019-01-14,19795,12576.1688,7218.8312,494.3,0,494.3,0,200,0,200,0,200,20289.3
2019-01-15,19795,12576.1688,7218.8312,448.6,0,448.6,0,200,0,200,0,200,20243.6
2019-01-16,19795,12576.1688,7218.8312,486,0,486,0,200,0,200,0,200,20281
2019-01-17,19795,12576.1688,7218.8312,444.4,0,444.4,0,200,0,200,0,200,20239.4
2019-01-18,19795,12576.1688,7218.8312,441.6,0,441.6,0,200,0,200,0,200,20236.6
2019-01-19,19795,12576.1688,7218.8312,427.8,0,427.8,0,200,0,200,0,200,20222.8
2019-01-20,19795,12576.1688,7218.8312,396,0,396,0,200,0,200,0,200,20191
2019-01-21,19795,12576.1688,7218.8312,375,0,375,0,200,0,200,0,200,20170
2019-01-22,19795,12576.1688,7218.8312,357,0,357,0,200,0,200,0,200,20152
2019-01-23,19795,12576.1688,7218.8312,424.6,0,424.6,0,200,0,200,0,200,20219.6
2019-01-24,19795,12576.1688,7218.8312,574.7,0,574.7,0,200,0,200,0,200,20369.7
2019-01-25,19795,12576.1688,7218.8312,563,0,563,0,200,0,200,0,200,20358
2019-01-26,19795,12576.1688,7218.8312,456.5,0,456.5,0,200,0,200,0,200,20251.5
2019-01-27,19795,12576.1688,7218.8312,433.6,0,433.6,0,200,0,200,0,200,20228.6
2019-01-28,19795,12576.1688,7218.8312,751.9,0,751.9,0,200,0,200,0,200,20546.9
2019-01-29,19795,12576.1688,7218.8312,1181.6,0,1181.6,0,200,0,200,0,200,20976.6
2019-01-30,19795,12576.1688,7218.8312,1104,0,1104,0,200,0,200,0,200,20899
2019-01-31,19795,12576.1688,7218.8312,850.1,0,850.1,0,200,0,200,0,200,20645.1
2019-02-01,19795,12576.1688,7218.8312,677.5,0,677.5,0,200,0,200,0,200,20472.5
2019-02-02,19795,12576.1688,7218.8312,574.7,0,574.7,0,200,0,200,0,200,20369.7
2019-02-03,19795,12576.1688,7218.8312,488.9,0,488.9,0,200,0,200,0,200,20283.9
2019-02-04,19795,12576.1688,7218.8312,659.7,0,659.7,0,200,0,200,0,200,20454.7
2019-02-05,19795,12576.1688,7218.8312,794.7,0,794.7,0,200,0,200,0,200,20589.7
2019-02-06,19795,12576.1688,7218.8312,752,0,752,0,200,0,200,0,200,20547
2019-02-07,19795,12576.1688,7218.8312,683,0,683,0,200,0,200,0,200,20478
2019-02-08,19795,12576.1688,7218.8312,529,0,529,0,200,0,200,0,200,20324
2019-02-09,19795,12576.1688,7218.8312,479.3,0,479.3,0,200,0,200,0,200,20274.3
2019-02-10,19795,12576.1688,7218.8312,527.3,0,527.3,0,200,0,200,0,200,20322.3
2019-02-11,19795,12576.1688,7218.8312,809.1,0,809.1,0,200,0,200,0,200,20604.1
2019-02-12,19795,12576.1688,7218.8312,1436,0,1436,0,200,0,200,0,200,21231
2019-02-13,19795,12576.1688,7218.8312,844,0,844,0,200,0,200,0,200,20639
2019-02-14,19795,12576.1688,7218.8312,690,0,690,0,200,0,200,0,200,20485
2019-02-15,19795,12576.1688,7218.8312,584.3,0,584.3,0,200,0,200,0,200,20379.3
2019-02-16,19795,12576.1688,7218.8312,507.7,0,507.7,0,200,0,200,0,200,20302.7
2019-02-17,19795,12576.1688,7218.8312,524,0,524,0,200,0,200,0,200,20319
2019-02-18,19795,12576.1688,7218.8312,695.5,0,695.5,0,200,0,200,0,200,20490.5
2019-02-19,19795,12576.1688,7218.8312,1220.3,0,1220.3,0,200,0,200,0,200,21015.3
2019-02-20,19795,12576.1688,7218.8312,844.9,0,844.9,0,200,0,200,0,200,20639.9
2019-02-21,19795,12576.1688,7218.8312,741.4,0,741.4,0,200,0,200,0,200,20536.4
2019-02-22,19795,12576.1688,7218.8312,606.6,0,606.6,0,200,0,200,0,200,20401.6
2019-02-23,19795,12576.1688,7218.8312,558.9,0,558.9,0,200,0,200,0,200,20353.9
2019-02-24,19795,12576.1688,7218.8312,744.7,0,744.7,0,200,0,200,0,200,20539.7
2019-02-25,19795,12576.1688,7218.8312,778.2,0,778.2,0,200,0,200,0,200,20573.2
2019-02-26,19795,12576.1688,7218.8312,601.9,0,601.9,0,200,0,200,0,200,20396.9
2019-02-27,19795,12576.1688,7218.8312,488,0,488,0,200,0,200,0,200,20283
2019-02-28,19795,12576.1688,7218.8312,441.9,0,441.9,0,200,0,200,0,200,20236.9
2019-03-01,19795,12576.1688,7218.8312,452.9,0,77.6,0,77.6,0,77.6,0,77.6,20247.9
2019-03-02,20170.3,12576.1688,7594.1312,450,0,77.6,0,77.6,0,77.6,0,77.6,20620.3
2019-03-03,20542.7,12576.1688,7966.5312,416.5,0,200,0,200,0,200,0,200,20959.2
2019-03-04,20759.2,12576.1688,8183.0312,374.1,0,200,0,200,0,200,0,200,21133.3
2019-03-05,20933.3,12576.1688,8357.1312,372.6,0,200,0,200,0,200,0,200,21305.9
2019-03-06,21105.9,12576.1688,8529.7312,348.6,0,200,0,200,0,200,0,200,21454.5
2019-03-07,21254.5,12576.1688,8678.3312,334.4,0,200,0,200,0,200,0,200,21588.9
2019-03-08,21388.9,12576.1688,8812.7312,332,0,200,0,200,0,200,0,200,21720.9
2019-03-09,21520.9,12576.1688,8944.7312,443.9,0,200,0,200,0,200,0,200,21964.8
2019-03-10,21764.8,12576.1688,9188.6312,574.7,0,200,0,200,0,200,0,200,22339.5
2019-03-11,22139.5,12576.1688,9563.3312,445.9,0,258.4,0,200,0,200,0,200,22585.4
2019-03-12,22327,12576.1688,9750.8312,389.1,0,389.1,0,200,0,200,0,200,22716.1
2019-03-13,22327,12576.1688,9750.8312,371.5,0,371.5,0,200,0,200,0,200,22698.5
2019-03-14,22327,12576.1688,9750.8312,338,0,338,0,200,0,200,0,200,22665
