date_time,storage,inflow,withdr,outflow,withdr_req,rel_req,available
2019-01-01,9725,40,40,100,40,0,9725
2019-01-02,9625,39.8,34,10.3,34,0,9630.8
2019-01-03,9620.5,38,65,10.3,65,0,9593.5
2019-01-04,9583.2,37,65,10.3,65,0,9555.2
2019-01-05,9544.9,35.9,65,10.3,65,0,9515.8
2019-01-06,9505.5,34,65,10.3,65,0,9474.5
2019-01-07,9464.2,34,65,10.3,65,0,9433.2
2019-01-08,9422.9,50,65,10.3,65,0,9407.9
2019-01-09,9397.6,45.8,65,10.3,65,0,9378.4
2019-01-10,9368.1,40.9,65,10.3,65,0,9344
2019-01-11,9333.7,37,65,10.3,65,0,9305.7
2019-01-12,9295.4,34,65,10.3,65,0,9264.4
2019-01-13,9254.1,34,65,10.3,65,0,9223.1
2019-01-14,9212.8,33,65,10.3,65,0,9180.8
2019-01-15,9170.5,47,65,10.3,65,0,9152.5
2019-01-16,9142.2,91,65,10.3,65,0,9168.2
2019-01-17,9157.9,65.7,65,10.3,65,0,9158.6
2019-01-18,9148.3,61,65,10.3,65,0,9144.3
2019-01-19,9134,55,65,10.3,65,0,9124
2019-01-20,9113.7,53,65,10.3,65,0,9101.7
2019-01-21,9091.4,51,65,10.3,65,0,9077.4
2019-01-22,9067.1,50,65,10.3,65,0,9052.1
2019-01-23,9041.8,229.1,65,10.3,65,0,9205.9
2019-01-24,9195.6,235,65,10.3,65,0,9365.6
2019-01-25,9355.3,136,65,10.3,65,0,9426.3
2019-01-26,9416,100,65,10.3,65,0,9451
2019-01-27,9440.7,91,65,10.3,65,0,9466.7
2019-01-28,9456.4,1178.2,65,844.6,65,0,10569.6
2019-01-29,9725,794,65,729,65,0,10454
2019-01-30,9725,295,65,230,65,0,9955
2019-01-31,9725,180.1,65,115.1,65,0,9840.1
2019-02-01,9725,140.2,65,75.2,65,0,9800.2
2019-02-02,9725,122.2,65,57.2,65,0,9782.2
2019-02-03,9725,112.3,65,47.3,65,0,9772.3
2019-02-04,9725,777.2,65,712.2,65,0,10437.2
2019-02-05,9725,1678.1,65,1613.1,65,0,11338.1
2019-02-06,9725,777.2,65,712.2,65,0,10437.2
2019-02-07,9725,255.1,65,190.1,65,0,9915.1
2019-02-08,9725,167.1,65,102.1,65,0,9827.1
2019-02-09,9725,141.2,65,76.2,65,0,9801.2
2019-02-10,9725,132,65,67,65,0,9792
2019-02-11,9725,125.5,65,60.5,65,0,9785.5
2019-02-12,9725,178,65,113,65,0,9838
2019-02-13,9725,140,65,75,65,0,9800
2019-02-14,9725,127.3,65,62.3,65,0,9787.3
2019-02-15,9725,122,65,57,65,0,9782
2019-02-16,9725,112.3,65,47.3,65,0,9772.3
2019-02-17,9725,141,65,76,65,0,9801
2019-02-18,9725,189.4,65,124.4,65,0,9849.4
2019-02-19,9725,195,65,130,65,0,9855
2019-02-20,9725,152,65,87,65,0,9812
2019-02-21,9725,142,65,77,65,0,9802
2019-02-22,9725,139,65,74,65,0,9799
2019-02-23,9725,168,65,103,65,0,9828
2019-02-24,9725,302.7,65,237.7,65,0,9962.7
2019-02-25,9725,239.4,65,174.4,65,0,9899.4
2019-02-26,9725,182.3,65,117.3,65,0,9842.3
2019-02-27,9725,154.4,65,89.4,65,0,9814.4
2019-02-28,9725,150.2,65,85.2,65,0,9810.2
2019-03-01,9725,144,65,79,65,0,9804
2019-03-02,9725,141.3,65,76.3,65,0,9801.3
2019-03-03,9725,156,65,91,65,0,9816
2019-03-04,9725,148.2,65,83.2,65,0,9808.2
2019-03-05,9725,144,65,79,65,0,9804
2019-03-06,9725,142,65,77,65,0,9802
2019-03-07,9725,137.6,65,72.6,65,0,9797.6
2019-03-08,9725,143,65,78,65,0,9803
2019-03-09,9725,372.8,65,307.8,65,0,10032.8
2019-03-10,9725,236.1,65,171.1,65,0,9896.1
2019-03-11,9725,173.2,65,108.2,65,0,9833.2
2019-03-12,9725,154.2,65,89.2,65,0,9814.2
2019-03-13,9725,147,65,82,65,0,9807
2019-03-14,9725,143.3,65,78.3,65,0,9803.3
2019-03-15,9725,137.3,65,72.3,65,0,9797.3
2019-03-16,9725,134,65,69,65,0,9794
2019-03-17,9725,131.4,65,66.4,65,0,9791.4
2019-03-18,9725,140.3,65,75.3,65,0,9800.3
2019-03-19,9725,278.6,65,213.6,65,0,9938.6
2019-03-20,9725,182.2,65,117.2,65,0,9842.2
2019-03-21,9725,654.2,65,589.2,65,0,10314.2
