date_time,storage,inflow,withdr,outflow,withdr_req,rel_req,available
2019-01-01,3987,5,5,200,5,3,3987
2019-01-02,3787,5,0,5,0,0,3792
2019-01-03,3787,5,0,5,0,0,3792
2019-01-04,3787,5,0,5,0,0,3792
2019-01-05,3787,5,0,5,0,0,3792
2019-01-06,3787,4,0,4,0,0,3791
2019-01-07,3787,5,0,5,0,0,3792
2019-01-08,3787,15,0,15,0,0,3802
2019-01-09,3787,10,0,10,0,0,3797
2019-01-10,3787,6,0,6,0,0,3793
2019-01-11,3787,5,0,5,0,0,3792
2019-01-12,3787,5,0,5,0,0,3792
2019-01-13,3787,4,0,4,0,0,3791
2019-01-14,3787,4,0,4,0,0,3791
2019-01-15,3787,13,0,13,0,0,3800
2019-01-16,3787,33,0,33,0,0,3820
2019-01-17,3787,18,0,18,0,0,3805
2019-01-18,3787,13,0,13,0,0,3800
2019-01-19,3787,9,0,9,0,0,3796
2019-01-20,3787,9,0,9,0,0,3796
2019-01-21,3787,8,0,8,0,0,3795
2019-01-22,3787,7,0,7,0,0,3794
2019-01-23,3787,89.1,0,89.1,0,0,3876.1
2019-01-24,3787,48,0,48,0,0,3835
2019-01-25,3787,30,0,30,0,0,3817
2019-01-26,3787,18,0,18,0,0,3805
2019-01-27,3787,20,0,20,0,0,3807
2019-01-28,3787,182.2,0,182.2,0,0,3969.2
2019-01-29,3787,154.2,0,154.2,0,0,3941.2
2019-01-30,3787,47.1,0,47.1,0,0,3834.1
2019-01-31,3787,31,0,31,0,0,3818
2019-02-01,3787,24,0,24,0,0,3811
2019-02-02,3787,21,0,21,0,0,3808
2019-02-03,3787,19,0,19,0,0,3806
2019-02-04,3787,182,0,182,0,0,3969
2019-02-05,3787,227.2,0,227.2,0,0,4014.2
2019-02-06,3787,71.1,0,71.1,0,0,3858.1
2019-02-07,3787,41,0,41,0,0,3828
2019-02-08,3787,29.1,0,29.1,0,0,3816.1
2019-02-09,3787,22,0,22,0,0,3809
2019-02-10,3787,21,0,21,0,0,3808
2019-02-11,3787,20,0,20,0,0,3807
2019-02-12,3787,30,0,30,0,0,3817
2019-02-13,3787,21,0,21,0,0,3808
2019-02-14,3787,19,0,19,0,0,3806
2019-02-15,3787,18,0,18,0,0,3805
2019-02-16,3787,17,0,17,0,0,3804
2019-02-17,3787,32.1,0,32.1,0,0,3819.1
2019-02-18,3787,43,0,43,0,0,3830
2019-02-19,3787,35.1,0,35.1,0,0,3822.1
2019-02-20,3787,25,0,25,0,0,3812
2019-02-21,3787,23,0,23,0,0,3810
2019-02-22,3787,21,0,21,0,0,3808
2019-02-23,3787,38.1,0,38.1,0,0,3825.1
2019-02-24,3787,74,0,74,0,0,3861
2019-02-25,3787,44,0,44,0,0,3831
2019-02-26,3787,32,0,32,0,0,3819
2019-02-27,3787,27,0,27,0,0,3814
2019-02-28,3787,26,0,26,0,0,3813
2019-03-01,3787,24,0,24,0,0,3811
2019-03-02,3787,23.3,0,23.3,0,0,3810.3
2019-03-03,3787,32.2,0,32.2,0,0,3819.2
2019-03-04,3787,27,0,27,0,0,3814
2019-03-05,3787,25,0,25,0,0,3812
2019-03-06,3787,24,0,24,0,0,3811
2019-03-07,3787,23,0,23,0,0,3810
2019-03-08,3787,26,0,26,0,0,3813
2019-03-09,3787,69,0,69,0,0,3856
2019-03-10,3787,36.1,0,36.1,0,0,3823.1
2019-03-11,3787,28,0,28,0,0,3815
2019-03-12,3787,26,0,26,0,0,3813
2019-03-13,3787,24,0,24,0,0,3811
2019-03-14,3787,22,0,22,0,0,3809
2019-03-15,3787,22,0,22,0,0,3809
2019-03-16,3787,21.4,0,21.4,0,0,3808.4
2019-03-17,3787,21,0,21,0,0,3808
2019-03-18,3787,26,0,26,0,0,3813
2019-03-19,3787,88.1,0,88.1,0,0,3875.1
2019-03-20,3787,42,0,42,0,0,3829
2019-03-21,3787,169,0,169,0,0,3956
2019-03-22,3787,66.2,0,66.2,0,0,3853.2
2019-03-23,3787,44,0,44,0,0,3831
2019-03-24,3787,33,0,33,0,0,3820
2019-03-25,3787,29,0,29,0,0,3816
2019-03-26,3787,27,0,27,0,0,3814
2019-03-27,3787,24,0,24,0,0,3811
2019-03-28,3787,23,0,23,0,0,3810
2019-03-29,3787,21,0,21,0,0,3808
2019-03-30,3787,21,0,21,0,0,3808
2019-03-31,3787,19,0,19,0,0,3806
2019-04-01,3787,19,0,19,0,0,3806
2019-04-02,3787,32,0,32,0,0,3819
2019-04-03,3787,21,0,21,0,0,3808
2019-04-04,3787,23.4,0,23.4,0,0,3810.4
2019-04-05,3787,21,0,21,0,0,3808
2019-04-06,3787,18,0,18,0,0,3805
2019-04-07,3787,16,0,16,0,0,3803
2019-04-08,3787,15,0,15,0,0,3802
2019-04-09,3787,43,0,43,0,0,3830
2019-04-10,3787,47.2,0,47.2,0,0,3834.2
2019-04-11,3787,26,0,26,0,0,3813
2019-04-12,3787,22,0,22,0,0,3809
2019-04-13,3787,20,0,20,0,0,3807
2019-04-14,3787,16,0,16,0,0,3803
2019-04-15,3787,15.6,0,15.6,0,0,3802.6
2019-04-16,3787,15,0,15,0,0,3802
2019-04-17,3787,17,0,17,0,0,3804
2019-04-18,3787,17,0,17,0,0,3804
2019-04-19,3787,27,0,27,0,0,3814
2019-04-20,3787,39,0,39,0,0,3826
2019-04-21,3787,23,0,23,0,0,3810
