date,lfalls,seneca,goose,monoc_jug,por,shen_mill,antietam,opequon,conoco,hancock,cacapon,sideling,pawpaw,town,sbr,patterson,nbp_cumb,wills,luke,barnum,bloomington,kitzmiller,barton,jrr_level,sav_level,edwards_level,bennett,unity,cattail,hawlings,cedar
2019-01-01,11545.97,144,392,2064,9156,2778,372,336,843,3836,619,163,3080,235,1266,209,994,339,412,226,146,254,60,NA,NA,3,82,42,25,29,89
2019-01-02,11741.97,108,275,1008,9772,2691,311,250,624,3780,557,129,2778,172,1084,185,851,288,311,166,103,213,52,NA,NA,3,59,31,19,18,55
2019-01-03,10257.97,85,247,770,8456,2327,288,214,515,3108,473,96,2302,138,932,170,630,255,213,116,66,197,44,NA,NA,3,53,29,18,17,45
2019-01-04,8605.97,61,225,664,7224,2072,271,186,448,2612,417,70,1971,110,829,162,552,214,291,193,90,186,35,NA,NA,3,48,28,17,16,39
2019-01-05,7597.97,66,249,669,6580,1966,302,220,479,2369,375,65,2036,115,784,159,1002,319,515,350,124,251,74,NA,NA,3,50,29,18,17,49
2019-01-06,7261.97,57,224,711,6384,1893,283,223,451,2968,378,56,2674,111,1033,157,1030,311,358,207,98,225,85,NA,NA,3,42,26,16,15,42
2019-01-07,7205.97,51,193,560,6636,1809,256,185,381,2828,344,44,2187,87,876,144,664,274,195,113,53,183,61,NA,NA,3,38,24,15,14,34
2019-01-08,6953.97,53,184,510,6048,1669,246,172,353,2288,308,42,1848,82,773,141,591,241,195,113,53,172,46,NA,NA,2,39,25,17,15,31
2019-01-09,6253.97,67,189,549,5432,1565,245,164,361,2148,297,48,1778,90,728,142,582,232,194,114,53,185,43,NA,NA,2,43,27,19,17,37
2019-01-10,5805.97,58,165,504,5180,1487,228,146,325,2030,283,41,1610,76,661,129,554,186,420,308,116,150,33,NA,NA,2,36,23,15,14,30
2019-01-11,5357.97,53,149,420,4788,1383,212,132,288,1882,247,36,1680,63,563,111,843,160,602,437,147,108,29,NA,NA,2,33,22,14,12,24
2019-01-12,4825.97,52,143,378,4452,1280,201,123,265,1940,217,31,1644,55,484,92,795,144,535,384,132,94,26,NA,NA,2,32,21,14,12,21
2019-01-13,4741.97,59,156,381,4396,1226,198,124,259,1812,207,32,1506,56,451,90,697,140,479,344,124,90,24,NA,NA,2,34,22,16,14,25
2019-01-14,4601.97,68,155,381,4228,1201,194,123,249,1691,206,30,1428,52,428,85,658,129,344,228,85,86,22,NA,NA,2,34,22,15,14,27
2019-01-15,4321.97,70,142,356,4004,1148,188,118,236,1579,197,26,1182,48,392,81,378,119,153,90,50,82,19,NA,NA,2,32,21,14,13,25
2019-01-16,4069.9700000000003,67,137,336,3780,1100,181,114,228,1268,185,26,983,45,364,80,322,110,151,90,50,78,16,NA,NA,2,31,21,14,13,24
2019-01-17,3733.9700000000003,66,136,336,3444,1064,176,111,220,1187,175,23,927,41,342,77,308,102,151,90,50,77,15,NA,NA,2,31,20,14,13,24
2019-01-18,3481.9700000000003,64,139,333,3276,1033,173,112,213,1137,172,22,890,39,325,77,300,98,162,102,50,78,14,NA,NA,2,31,21,15,14,28
2019-01-19,3481.9700000000003,71,165,356,3248,1058,172,122,212,1114,175,23,910,40,342,87,314,97,183,120,50,87,15,NA,NA,2,37,23,18,18,45
2019-01-20,7149.97,302,823,2220,5012,2114,375,596,364,2528,736,78,2355,129,2400,409,661,152,339,275,52,540,33,NA,NA,2,193,104,78,100,328
2019-01-21,11181.97,121,398,1442,10808,4256,294,375,406,6244,988,NA,4284,90,2598,291,689,88,440,361,78,229,24,NA,NA,NA,55,30,NA,23,100
2019-01-22,13757.97,99,305,577,11312,3556,232,220,291,3808,543,NA,2733,50,1372,228,630,80,454,350,104,147,18,NA,NA,NA,43,31,NA,16,53
2019-01-23,9781.97,94,255,524,7840,2556,224,186,283,2856,434,NA,2240,57,1042,207,647,101,504,403,104,176,14,NA,NA,NA,43,25,15,16,43
2019-01-24,9361.97,277,669,1504,7224,2265,339,347,560,3192,616,NA,2752,178,1201,350,1218,291,725,538,151,714,121,NA,NA,3,158,100,66,74,283
2019-01-25,13645.97,154,582,2646,11368,2736,515,434,1025,6272,1022,NA,4676,288,2229,372,1529,347,837,596,200,412,92,NA,NA,3,81,42,23,30,179
2019-01-26,15605.97,118,372,938,13328,3332,356,263,666,5432,739,134,3976,168,1641,302,1299,259,826,594,199,276,60,NA,NA,3,60,32,18,19,82
2019-01-27,12889.97,110,314,720,10556,2856,311,215,515,4060,554,88,3136,123,1190,264,1126,208,591,428,118,228,45,NA,NA,3,53,29,17,17,59
2019-01-28,10145.97,93,275,630,8456,2380,283,187,434,3192,448,64,2394,95,952,237,700,171,386,297,75,198,36,NA,NA,3,47,27,16,16,49
2019-01-29,8381.97,81,246,554,7056,2047,260,167,381,2520,372,50,1991,80,804,215,647,141,381,294,75,175,29,NA,NA,3,43,26,16,15,42
2019-01-30,7037.97,68,223,504,5992,1806,242,149,339,2201,325,NA,1742,60,686,191,585,113,305,225,57,122,16,NA,NA,2,39,24,15,14,38
2019-01-31,6001.97,50,197,358,5180,1585,218,126,257,1747,231,NA,1299,41,510,169,322,69,150,105,32,75,13,NA,NA,2,48,NA,NA,13,31
2019-02-01,4965.97,46,190,328,4144,1383,206,117,227,1240,158,NA,935,41,398,150,248,62,164,120,32,72,12,NA,NA,2,46,NA,NA,13,32
2019-02-02,4153.97,46,188,328,3528,1274,202,117,224,1229,197,NA,997,44,389,134,325,69,185,135,31,75,12,NA,NA,2,34,NA,NA,13,28
2019-02-03,3761.9700000000003,55,179,336,3472,1235,202,116,237,1386,240,NA,1123,56,417,118,384,112,186,131,31,83,11,NA,NA,2,28,23,15,13,25
2019-02-04,3873.9700000000003,64,178,367,3780,1184,200,118,248,1406,251,NA,1078,55,398,116,378,116,231,178,31,102,14,NA,NA,2,30,23,16,14,28
2019-02-05,4153.97,69,174,428,3948,1151,197,118,268,1386,236,NA,1184,70,386,117,638,253,336,256,43,221,36,NA,NA,2,35,23,16,15,30
2019-02-06,4153.97,65,164,482,3836,1109,191,120,358,1660,223,62,1725,129,406,125,1198,552,554,375,123,300,102,NA,NA,2,33,22,15,14,28
2019-02-07,4349.97,70,164,540,4340,1067,187,126,417,2940,221,109,2856,242,482,177,2027,840,846,510,251,398,192,NA,NA,2,36,24,17,14,30
2019-02-08,5357.97,64,152,560,5656,1028,183,127,580,4032,229,283,3528,395,574,202,2307,916,960,566,291,529,221,NA,NA,2,32,21,14,13,27
2019-02-09,7065.97,55,136,543,7308,991,172,120,566,4172,251,191,3304,257,619,167,1756,546,927,560,291,342,118,NA,NA,2,29,19,13,12,20
2019-02-10,7653.97,39,125,375,6608,949,161,109,414,3192,217,104,2660,161,529,136,1428,344,832,479,288,264,67,NA,NA,2,28,18,13,11,17
2019-02-11,6337.97,82,153,370,5516,904,164,111,375,2680,201,79,2271,131,479,124,1168,272,694,409,231,262,50,NA,NA,2,41,25,19,22,39
