date,lfalls,seneca,goose,monoc_jug,por,shen_mill,antietam,opequon,conoco,hancock,cacapon,sideling,pawpaw,town,sbr,patterson,nbp_cumb,wills,luke,barnum,bloomington,kitzmiller,barton,jrr_level,sav_level,edwards_level,bennett,unity,cattail,hawlings,cedar
2019-10-07T04:00:00Z,-136.02999999999986,18,5,40,535,173,39,25,31,170,21,0,138,2,34,3,81,9,120,NA,13,14,1,402,404,1,4,3,3,3,0
2019-10-07T05:00:00Z,-147.02999999999986,18,5,40,529,175,39,25,31,170,21,0,138,2,34,3,81,9,120,54,13,14,1,402,404,1,4,3,3,3,0
2019-10-07T06:00:00Z,-147.02999999999986,19,5,40,529,175,40,25,31,170,21,0,138,2,34,3,81,9,120,NA,13,14,1,401,404,1,4,3,3,3,0
2019-10-07T07:00:00Z,-147.02999999999986,19,5,40,529,175,41,25,31,170,21,0,138,2,34,3,81,9,120,54,13,14,1,401,404,1,4,3,3,3,0
2019-10-07T08:00:00Z,-158.02999999999986,18,5,40,529,175,42,24,31,170,21,0,138,2,34,3,81,9,120,NA,13,15,1,401,404,1,4,3,3,3,0
2019-10-07T09:00:00Z,-147.02999999999986,17,5,39,529,177,43,24,31,170,21,0,140,2,34,3,82,9,120,54,13,15,1,401,404,1,4,3,3,3,0
2019-10-07T10:00:00Z,-147.02999999999986,16,5,39,524,179,42,24,31,165,21,0,144,2,34,3,82,9,120,NA,13,15,1,401,404,1,4,3,3,3,0
2019-10-07T11:00:00Z,-158.02999999999986,16,5,39,524,179,41,24,31,167,22,0,145,2,34,3,84,9,120,54,13,16,1,401,404,1,4,3,3,3,0
2019-10-07T12:00:00Z,-147.02999999999986,15,5,39,524,205,41,23,30,167,22,0,142,2,34,4,86,9,120,NA,13,16,1,401,404,1,4,3,3,3,0
2019-10-07T13:00:00Z,-147.02999999999986,14,5,39,524,195,40,23,30,167,22,0,142,2,34,4,86,9,120,54,13,16,1,401,404,1,4,3,3,3,0
2019-10-07T14:00:00Z,-147.02999999999986,14,5,39,524,185,40,23,30,167,22,0,142,2,34,4,84,9,120,NA,13,17,1,401,404,1,4,3,3,3,0
2019-10-07T15:00:00Z,-147.02999999999986,13,5,39,524,179,39,23,30,167,22,0,142,2,34,4,84,9,120,54,13,17,1,401,404,1,4,3,3,3,0
2019-10-07T16:00:00Z,-136.02999999999986,14,6,39,524,175,39,24,30,167,22,0,145,2,34,4,84,9,120,54,13,17,1,401,404,1,4,3,3,3,0
2019-10-07T17:00:00Z,-136.02999999999986,17,6,39,515,173,41,24,31,167,22,0,145,2,34,4,84,9,120,54,13,17,1,401,404,1,4,3,3,3,0
2019-10-07T18:00:00Z,-136.02999999999986,18,6,40,515,171,42,25,31,167,22,0,144,2,34,4,82,9,120,55,13,17,1,401,404,1,4,3,3,3,0
2019-10-07T19:00:00Z,-136.02999999999986,18,6,41,529,169,44,25,31,167,23,0,145,2,35,4,82,9,120,55,13,17,1,401,404,1,4,3,3,3,0
2019-10-07T20:00:00Z,-136.02999999999986,18,6,41,529,165,46,25,32,167,23,0,145,2,36,4,82,9,120,54,13,18,1,401,404,1,4,3,3,3,0
2019-10-07T21:00:00Z,-136.02999999999986,18,6,41,535,163,46,25,32,170,24,0,145,2,35,4,84,9,120,54,13,18,1,401,404,1,4,3,3,3,0
2019-10-07T22:00:00Z,-125.02999999999986,17,6,41,NA,161,46,26,32,170,25,0,148,2,36,4,84,9,120,56,13,18,1,401,404,1,4,3,3,3,0
2019-10-07T23:00:00Z,-125.02999999999986,17,6,41,NA,158,45,26,34,172,27,0,153,3,38,4,86,10,120,54,13,19,2,401,404,1,4,3,3,3,0
2019-10-08T00:00:00Z,-111.02999999999986,16,6,42,NA,127,45,27,34,179,27,0,155,3,38,4,88,11,120,55,13,20,2,401,404,1,4,3,3,3,0
2019-10-08T01:00:00Z,-125.02999999999986,14,6,43,549,133,45,28,35,179,27,0,156,3,39,5,90,12,120,54,13,21,2,401,404,1,4,3,3,3,0
2019-10-08T02:00:00Z,-125.02999999999986,14,6,43,554,144,46,30,36,179,27,0,160,3,39,5,92,12,120,54,13,21,2,401,404,1,4,3,3,3,0
2019-10-08T03:00:00Z,-136.02999999999986,14,6,47,568,150,46,35,37,179,28,0,163,3,39,5,94,12,120,54,13,22,2,401,404,1,4,3,3,3,0
2019-10-08T04:00:00Z,-125.02999999999986,14,6,56,568,154,46,32,38,185,28,0,167,3,40,5,94,12,120,55,13,23,2,401,404,1,4,3,3,3,0
2019-10-08T05:00:00Z,-125.02999999999986,14,6,65,568,156,47,31,40,185,28,0,168,3,41,6,95,12,120,55,13,24,2,401,404,1,4,3,3,3,0
2019-10-08T06:00:00Z,-136.02999999999986,14,6,68,574,158,49,30,40,185,28,0,170,3,41,6,95,12,120,55,13,25,3,401,404,1,4,3,3,3,0
2019-10-08T07:00:00Z,-125.02999999999986,16,6,66,582,161,50,29,42,185,28,0,170,3,41,6,95,12,120,55,13,26,3,401,404,1,4,3,3,3,0
2019-10-08T08:00:00Z,-136.02999999999986,17,7,64,582,167,55,29,44,188,28,0,170,3,41,6,95,12,120,54,13,27,4,401,404,1,4,3,3,3,0
2019-10-08T09:00:00Z,-136.02999999999986,17,7,61,582,173,62,29,47,188,28,0,170,3,41,6,97,12,120,54,13,29,4,401,404,1,4,3,3,3,0
2019-10-08T10:00:00Z,-136.02999999999986,16,7,59,574,177,65,29,49,190,28,0,170,4,41,6,97,12,120,54,13,32,4,401,404,1,4,3,3,3,0
2019-10-08T11:00:00Z,-147.02999999999986,15,7,58,568,181,65,29,50,190,28,0,168,4,42,6,97,13,120,55,13,34,3,401,404,1,4,3,3,3,0
2019-10-08T12:00:00Z,-136.02999999999986,14,7,57,557,207,66,29,50,190,28,0,170,4,42,6,99,13,120,54,13,36,3,401,404,1,4,3,3,3,0
2019-10-08T13:00:00Z,-136.02999999999986,13,7,56,557,197,65,29,50,190,28,0,170,4,43,6,99,13,120,54,13,38,3,401,404,1,4,3,3,3,0
2019-10-08T14:00:00Z,-125.02999999999986,13,7,56,557,193,63,28,51,190,28,0,172,4,43,6,101,13,120,54,13,39,3,401,404,1,5,3,3,3,0
2019-10-08T15:00:00Z,-136.02999999999986,14,7,56,557,190,60,29,52,190,28,0,173,4,44,6,101,13,120,54,13,41,3,401,404,1,5,3,3,3,0
2019-10-08T16:00:00Z,-136.02999999999986,14,7,57,563,190,57,29,58,190,28,0,177,4,44,6,103,13,120,53,13,43,3,401,404,1,5,3,3,3,0
2019-10-08T17:00:00Z,-136.02999999999986,16,7,57,563,193,55,30,69,190,28,0,178,4,45,6,103,12,120,53,13,49,3,401,404,1,5,3,3,3,0
2019-10-08T18:00:00Z,-147.02999999999986,19,7,58,557,197,53,30,76,190,28,0,182,4,46,6,103,12,120,54,13,52,3,401,404,1,5,3,3,3,0
2019-10-08T19:00:00Z,-125.02999999999986,19,7,58,563,201,52,NA,76,188,28,0,184,4,47,6,103,12,120,53,13,52,4,401,404,1,5,3,3,3,0
2019-10-08T20:00:00Z,-125.02999999999986,18,7,59,563,203,51,45,74,188,28,0,185,4,47,6,103,12,120,53,13,53,4,401,404,1,5,3,3,3,0
2019-10-08T21:00:00Z,-125.02999999999986,17,7,60,563,205,51,52,69,188,28,0,185,4,47,6,103,12,120,53,13,53,4,401,404,1,5,3,3,3,0
2019-10-08T22:00:00Z,-111.02999999999986,18,7,62,577,203,52,51,66,188,28,0,185,4,48,6,103,12,120,53,13,53,4,401,404,1,5,3,3,3,0
2019-10-08T23:00:00Z,-111.02999999999986,18,7,62,577,201,53,50,63,188,28,0,185,4,48,6,103,12,120,53,13,52,4,401,404,1,5,3,3,3,0
2019-10-09T00:00:00Z,-125.02999999999986,17,7,61,582,171,53,48,61,190,28,0,184,4,48,6,103,12,120,53,13,52,4,401,404,1,5,3,3,3,0
2019-10-09T01:00:00Z,-111.02999999999986,18,7,61,582,175,53,45,58,190,28,0,185,4,48,6,101,12,120,53,13,51,4,401,404,1,5,3,3,3,0
2019-10-09T02:00:00Z,-125.02999999999986,19,7,61,582,181,53,41,57,190,28,0,184,4,48,6,101,12,120,53,13,49,4,401,404,1,5,3,3,3,0
2019-10-09T03:00:00Z,-125.02999999999986,18,7,60,588,183,52,40,56,192,28,0,185,4,48,6,101,12,120,53,13,49,3,401,404,1,5,3,3,3,0
2019-10-09T04:00:00Z,-111.02999999999986,18,7,60,596,181,52,38,55,192,28,0,185,4,48,6,99,13,120,53,13,47,3,401,404,1,4,3,3,3,0
2019-10-09T05:00:00Z,-111.02999999999986,19,7,59,602,181,51,37,55,195,27,0,187,4,49,6,99,13,120,53,13,47,3,401,404,1,4,3,3,3,0
2019-10-09T06:00:00Z,-111.02999999999986,19,7,59,616,181,50,36,55,195,27,0,187,4,50,6,97,13,120,53,13,45,3,401,404,1,4,3,3,3,0
2019-10-09T07:00:00Z,-111.02999999999986,19,7,59,627,181,50,35,54,197,27,0,189,4,51,6,97,14,120,53,13,44,3,401,404,1,4,3,3,3,0
2019-10-09T08:00:00Z,-100.02999999999986,18,7,59,641,183,50,34,54,197,27,0,190,4,52,6,97,14,120,53,13,43,3,401,404,1,4,3,3,3,0
2019-10-09T09:00:00Z,-100.02999999999986,17,7,59,641,183,49,34,54,197,27,0,192,4,52,6,97,14,120,53,13,41,3,401,404,1,4,3,3,3,0
2019-10-09T10:00:00Z,-100.02999999999986,18,7,59,641,185,49,34,53,197,27,0,192,4,53,6,95,14,120,53,13,39,3,401,404,1,4,3,3,3,0
2019-10-09T11:00:00Z,-100.02999999999986,16,7,59,641,188,48,34,53,197,NA,0,194,4,53,6,95,14,120,53,13,38,3,401,404,1,4,3,3,3,0
2019-10-09T12:00:00Z,-100.02999999999986,15,7,60,641,181,48,34,52,199,27,0,194,4,55,6,95,15,120,53,13,36,3,401,404,1,4,3,3,3,0
