date,lfalls,seneca,goose,monoc_jug,por,shen_mill,antietam,opequon,conoco,hancock,cacapon,sideling,pawpaw,town,sbr,patterson,nbp_cumb,wills,luke,barnum,bloomington,kitzmiller,barton,jrr_level,sav_level,edwards_level,bennett,unity,cattail,hawlings,cedar
2020-01-01,1741.115,34,44,417,1602,324,71,40,153,669,52,11,585,17,139,22,327,82,231,161,52,106,24,NA,NA,4.83,59.9,33.9,23.3,24,68.4
2020-01-02,1477.115,30,38,312,1581,318,68,36,134,645,53,10,567,16,135,22,318,75,230,160,52,95,20,NA,NA,4.65,51.9,30.8,21.5,21.8,51.5
2020-01-03,1363.115,33,37,282,1515,321,68,35,128,630,51,10,555,15,129,22,315,73,231,160,52,100,19,NA,NA,4.57,56.2,32.6,23.1,23.4,58.3
2020-01-04,1375.115,43,50,324,1509,321,71,37,140,618,50,11,561,17,128,22,333,95,231,160,52,125,21,NA,NA,4.57,70.5,38.4,26.9,30.5,119
2020-01-05,1528.115,43,78,369,1488,327,70,39,148,630,50,12,585,20,128,22,342,102,204,145,39,177,21,NA,NA,4.67,67.1,35.4,23.9,31.2,187
2020-01-06,1393.115,33,66,283,1497,330,67,38,136,642,50,11,555,18,133,22,298,102,178,132,32,136,21,NA,NA,4.59,56.7,31.1,21.6,24.5,99.3
2020-01-07,1315.115,32,56,246,1515,333,68,36,128,603,49,11,534,17,142,21,287,94,178,132,32,116,20,NA,NA,4.56,53.4,30.3,21.5,23.4,78.4
2020-01-08,1297.115,33,54,241,1473,339,68,35,125,597,49,10,531,15,144,21,277,85,177,132,32,99,18,NA,NA,4.5,53,31.2,22.4,24.5,83.8
2020-01-09,1219.115,30,51,226,1431,333,65,34,114,576,47,8,510,13,145,21,258,71,176,132,32,94,14,NA,NA,4.44,48.7,29,21,23.2,87.4
2020-01-10,1138.115,28,47,202,1377,321,64,34,104,555,44,9,492,14,139,20,250,64,173,132,30,100,14,NA,NA,4.34,47.4,28.5,21.1,22,78.1
2020-01-11,1054.115,28,49,202,1335,321,62,35,108,540,46,8,480,15,137,23,256,68,180,132,33,185,18,NA,NA,4.29,49,28.9,21.4,21.8,91.4
2020-01-12,1192.115,46,75,1167,1521,351,125,110,206,684,91,44,1020,75,435,129,450,170,208,134,41,456,62,NA,NA,4.33,81.6,42.4,32,36.1,310
2020-01-13,2488.115,35,92,846,2025,411,126,104,248,1872,231,67,1707,80,711,114,495,172,309,209,82,291,61,NA,NA,5.62,67.5,36.1,24.4,26.6,166
2020-01-14,2728.115,32,75,477,3360,480,101,69,208,1872,208,44,1548,55,573,86,594,158,381,252,97,243,46,NA,NA,5.66,60,33.8,22.9,24.4,121
2020-01-15,3478.115,31,73,402,3480,738,96,59,189,1722,168,34,1434,48,465,70,582,141,372,245,97,236,36,NA,NA,6.41,57.5,33.1,22.2,23.7,109
2020-01-16,3358.115,30,64,354,3270,747,90,52,169,1527,142,27,1257,42,381,59,546,125,369,245,96,219,32,NA,NA,6.15,53.1,31.7,21.2,22.5,86.3
