date,lfalls,seneca,goose,monoc_jug,por
2020-07-18 0:00,260.115,23,6,47,762
2020-07-18 1:00,256.115,22,6,47,768
2020-07-18 2:00,249.115,22,6,47,777
2020-07-18 3:00,249.115,22,6,46,782
2020-07-18 4:00,234.115,22,6,46,783
2020-07-18 5:00,223.115,22,6,46,789
2020-07-18 6:00,215.115,22,6,45,789
2020-07-18 7:00,211.115,23,6,45,791
2020-07-18 8:00,204.115,23,6,44,796
2020-07-18 9:00,196.115,22,6,44,789
2020-07-18 10:00,196.115,21,6,44,789
2020-07-18 11:00,193.115,20,6,44,789
2020-07-18 12:00,185.115,20,6,43,784
2020-07-18 13:00,185.115,19,6,43,780
2020-07-18 14:00,166.115,18,6,43,775
2020-07-18 15:00,170.115,18,6,42,770
2020-07-18 16:00,166.115,18,6,42,768
2020-07-18 17:00,154.115,19,6,42,768
2020-07-18 18:00,154.115,19,6,43,765
2020-07-18 19:00,154.115,23,6,43,755
2020-07-18 20:00,147.115,23,6,44,752
2020-07-18 21:00,147.115,24,6,44,753
2020-07-18 22:00,147.115,24,6,43,753
2020-07-18 23:00,139.115,26,6,43,753
2020-07-19 0:00,139.115,25,6,43,755
2020-07-19 1:00,139.115,23,6,43,762
2020-07-19 2:00,143.115,23,6,43,766
2020-07-19 3:00,147.115,22,6,43,768
2020-07-19 4:00,154.115,22,6,43,775
2020-07-19 5:00,154.115,21,6,43,777
2020-07-19 6:00,151.115,20,6,43,777
2020-07-19 7:00,154.115,20,6,43,777
2020-07-19 8:00,154.115,20,6,42,777
2020-07-19 9:00,154.115,19,6,42,782
2020-07-19 10:00,154.115,18,6,42,783
2020-07-19 11:00,154.115,17,6,42,789
2020-07-19 12:00,154.115,16,6,42,796
2020-07-19 13:00,157.115,16,6,42,807
2020-07-19 14:00,157.115,15,6,43,820
2020-07-19 15:00,154.115,15,6,44,826
2020-07-19 16:00,154.115,15,6,44,843
2020-07-19 17:00,161.115,16,6,45,860
2020-07-19 18:00,151.115,16,6,46,874
2020-07-19 19:00,143.115,19,6,46,884
2020-07-19 20:00,139.115,20,6,47,892
2020-07-19 21:00,139.115,22,6,48,904
2020-07-19 22:00,143.115,26,6,48,904
2020-07-19 23:00,139.115,26,6,47,914
2020-07-20 0:00,136.115,26,6,47,920
2020-07-20 1:00,136.115,26,6,46,926
2020-07-20 2:00,136.115,25,6,46,926
2020-07-20 3:00,139.115,25,6,45,926
2020-07-20 4:00,132.115,26,6,44,924
2020-07-20 5:00,132.115,26,6,44,924
2020-07-20 6:00,124.115,26,6,44,915
2020-07-20 7:00,132.115,26,6,44,910
2020-07-20 8:00,139.115,25,6,43,907
2020-07-20 9:00,136.115,24,6,42,898
2020-07-20 10:00,139.115,23,6,41,894
2020-07-20 11:00,143.115,22,6,41,885
2020-07-20 12:00,143.115,21,6,40,882
2020-07-20 13:00,154.115,20,6,40,868
2020-07-20 14:00,157.115,20,6,40,857
2020-07-20 15:00,136.115,20,6,40,850
2020-07-20 16:00,128.115,21,6,40,840
2020-07-20 17:00,136.115,22,6,40,834
2020-07-20 18:00,143.115,23,6,40,830
2020-07-20 19:00,154.115,24,6,40,818
2020-07-20 20:00,196.115,25,6,41,813
2020-07-20 21:00,215.115,25,6,41,813
2020-07-20 22:00,226.115,24,6,40,801
2020-07-20 23:00,234.115,24,6,40,798
2020-07-21 0:00,253.115,23,6,39,796
2020-07-21 1:00,264.115,23,6,38,791
2020-07-21 2:00,275.115,23,6,38,789
2020-07-21 3:00,275.115,24,6,38,789
2020-07-21 4:00,271.115,24,6,37,784
2020-07-21 5:00,275.115,25,5,37,783
2020-07-21 6:00,275.115,25,5,37,780
2020-07-21 7:00,275.115,25,5,37,777
2020-07-21 8:00,275.115,24,5,37,772
2020-07-21 9:00,275.115,23,5,37,768
2020-07-21 10:00,283.115,22,5,37,764
2020-07-21 11:00,290.115,22,6,36,762
2020-07-21 12:00,301.115,20,6,36,753
2020-07-21 13:00,294.115,20,6,36,748
2020-07-21 14:00,286.115,20,6,35,738
2020-07-21 15:00,279.115,20,6,35,732
2020-07-21 16:00,275.115,20,6,35,728
2020-07-21 17:00,264.115,21,6,36,723
2020-07-21 18:00,256.115,22,5,36,718
2020-07-21 19:00,253.115,23,5,37,710
2020-07-21 20:00,241.115,23,5,36,705
2020-07-21 21:00,241.115,23,5,36,705
2020-07-21 22:00,238.115,24,5,36,705
2020-07-21 23:00,230.115,25,5,35,705
2020-07-22 0:00,226.115,24,5,36,705
2020-07-22 1:00,241.115,24,5,36,705
2020-07-22 2:00,268.115,24,5,36,711
2020-07-22 3:00,256.115,24,5,36,711
2020-07-22 4:00,268.115,24,5,37,711
2020-07-22 5:00,320.115,25,5,38,716
2020-07-22 6:00,316.115,25,5,40,720
2020-07-22 7:00,279.115,25,5,40,720
2020-07-22 8:00,260.115,24,5,40,713
2020-07-22 9:00,264.115,23,5,40,710
2020-07-22 10:00,286.115,22,5,40,704
2020-07-22 11:00,301.115,22,5,39,697
2020-07-22 12:00,294.115,20,5,39,687
2020-07-22 13:00,271.115,20,5,39,680
2020-07-22 14:00,253.115,19,5,39,668
2020-07-22 15:00,238.115,19,5,38,660
2020-07-22 16:00,223.115,20,5,38,652
2020-07-22 17:00,211.115,21,5,38,648
2020-07-22 18:00,200.115,22,5,39,645
2020-07-22 19:00,193.115,24,5,40,674
2020-07-22 20:00,226.115,28,6,41,688
2020-07-22 21:00,405.115,29,6,43,700
2020-07-22 22:00,916.115,29,6,43,705
2020-07-22 23:00,901.115,32,6,43,705
2020-07-23 0:00,799.115,36,7,44,708
2020-07-23 1:00,799.115,72,7,45,713
2020-07-23 2:00,935.115,109,10,46,720
2020-07-23 3:00,1021.115,103,41,46,723
2020-07-23 4:00,985.115,97,63,46,726
2020-07-23 5:00,931.115,88,61,47,732
2020-07-23 6:00,886.115,77,52,47,736
2020-07-23 7:00,876.115,69,43,47,747
2020-07-23 8:00,842.115,61,37,47,754
2020-07-23 9:00,779.115,54,32,47,765
2020-07-23 10:00,705.115,47,28,47,776
2020-07-23 11:00,651.115,42,26,46,788
2020-07-23 12:00,592.115,39,25,46,797
2020-07-23 13:00,556.115,37,24,46,818
2020-07-23 14:00,526.115,35,23,46,837
2020-07-23 15:00,501.115,34,22,47,847
2020-07-23 16:00,483.115,34,20,49,852
2020-07-23 17:00,467.115,34,20,50,855
2020-07-23 18:00,454.115,34,19,50,855
2020-07-23 19:00,442.115,34,18,50,855
2020-07-23 20:00,430.115,34,19,50,850
2020-07-23 21:00,430.115,33,19,50,846
2020-07-23 22:00,421.115,33,19,50,840
2020-07-23 23:00,412.115,32,19,50,880
2020-07-24 0:00,417.115,32,18,52,920
2020-07-24 1:00,430.115,32,18,52,946
2020-07-24 2:00,413.115,32,17,59,969
2020-07-24 3:00,417.115,32,17,67,1001
2020-07-24 4:00,430.115,34,17,73,1023
2020-07-24 5:00,417.115,34,16,72,1014
2020-07-24 6:00,412.115,34,16,71,989
2020-07-24 7:00,412.115,35,16,68,967
2020-07-24 8:00,442.115,35,16,65,948
2020-07-24 9:00,517.115,35,17,63,937
2020-07-24 10:00,583.115,34,20,61,933
2020-07-24 11:00,637.115,34,23,60,933
2020-07-24 12:00,637.115,34,28,59,934
2020-07-24 13:00,633.115,35,32,60,939
2020-07-24 14:00,619.115,37,35,61,946
2020-07-24 15:00,601.115,39,38,62,952
2020-07-24 16:00,624.115,40,43,63,957
2020-07-24 17:00,651.115,44,49,64,957
2020-07-24 18:00,655.115,44,54,66,964
2020-07-24 19:00,655.115,41,56,67,972
2020-07-24 20:00,655.115,39,54,68,976
