Today, WSSC - Patuxent reservoirs current usable storage (BG), WSSC - Little Reservoir current usable storage (BG), FW - Occoquan Reservoir current usable storage (BG)
2020-01-01, 5.433011613, 3.895498514, 8.05
2020-01-02, 5.434609733, 3.89385891, 8.05
2020-01-03, 5.454951487, 3.897331715, 8.05
2020-01-04, 5.795392475, 3.900420189, 8.05
2020-01-05, 5.499098978, 3.895305634, 8.05
2020-01-06, 5.502825222, 3.891930342, 8.05
2020-01-07, 5.518502316, 3.893183947, 8.05
2020-01-08, 5.524560175, 3.889231205, 8.05
2020-01-09, 5.521286092, 3.88768959, 8.05
2020-01-10, 5.525287828, 3.886533499, 8.05
2020-01-11, 5.541392169, 3.895787954, 8.05
2020-01-12, 5.586288652, 3.897331715, 8.05
2020-01-13, 5.597355566, 3.894919872, 8.05
2020-01-14, 5.611419044, 3.894437551, 8.05
2020-01-15, 5.619391046, 3.893569469, 8.05
2020-01-16, 5.600525937, 3.889038563, 8.05
2020-01-17, 5.613156757, 3.884125471, 8.05
2020-01-18, 5.803420386, 3.893569469, 8.05
2020-01-19, 5.641703329, 3.89385891, 8.05
2020-01-20, 5.65856596, 3.888267756, 8.05
2020-01-21, 5.65304049, 3.886822462, 8.05
2020-01-22, 5.64684113, 3.885570049, 8.05
2020-01-23, 5.63742908, 3.88489604, 8.05
2020-01-24, 5.686214528, 3.928379774, 8.05
2020-01-25, 6.131329856, 3.960744381, 8.05
2020-01-26, 6.189712605, 3.929931164, 8.05
2020-01-27, 6.223966203, 3.913659573, 8.05
2020-01-28, 6.241585574, 3.903800011, 8.05
2020-01-29, 6.249903879, 3.898296833, 8.05
2020-01-30, 6.260051928, 3.89434123, 8.05
2020-01-31, 6.261843405, 3.892026663, 8.05
2020-02-01, 6.265953622, 3.89164114, 8.05
2020-02-02, 6.264703832, 3.890676975, 8.05
2020-02-03, 6.268086634, 3.888267756, 8.05
2020-02-04, 6.161704741, 3.888171196, 8.05
2020-02-05, 6.105939589, 3.888942242, 8.05
2020-02-06, 5.12297406, 3.91191864, 8.05
2020-02-07, 6.33093997, 3.918885231, 8.05
2020-02-08, 6.373964629, 3.90814805, 8.05
2020-02-09, 6.395141683, 3.900709867, 8.05
2020-02-10, 6.43985518, 3.906601667, 8.05
2020-02-11, 6.548413119, 3.916562319, 8.05
2020-02-12, 6.58452352, 3.914046526, 8.05
2020-02-13, 6.636742077, 3.910564661, 8.05
2020-02-14, 6.656518779, 3.902351379, 8.05
2020-02-15, 6.660980306, 3.898007154, 8.05
2020-02-16, 6.665696464, 3.895981073, 8.05
2020-02-17, 6.666903696, 3.893666029, 8.05
2020-02-18, 6.684187851, 3.892701626, 8.05
2020-02-19, 6.684027038, 3.891062737, 8.05
2020-02-20, 6.691446862, 3.889809608, 8.05
2020-02-21, 6.694178662, 3.888942242, 8.05
2020-02-22, 6.698445997, 3.888845921, 8.05
2020-02-23, 6.703786931, 3.888556719, 8.05
2020-02-24, 6.704178772, 3.88865304, 8.05
2020-02-25, 6.723173461, 3.892412424, 8.05
2020-02-26, 6.75745996, 3.929931164, 8.05
2020-02-27, 6.808011255, 3.919563055, 8.05
2020-02-28, 6.819169006, 3.906988144, 8.05
2020-02-29, 6.821789465, 3.899551392, 8.05
2020-03-01, 6.821940384, 3.895305634, 8.05
2020-03-02, 6.829060278, 3.896945715, 8.05
2020-03-03, 6.843918524, 3.896849394, 8.05
2020-03-04, 6.847717247, 3.893666029, 8.05
2020-03-05, 6.850009165, 3.89154458, 8.05
2020-03-06, 6.835060797, 3.890484333, 8.05
2020-03-07, 6.828597984, 3.88768959, 8.05
2020-03-08, 6.834778986, 3.885859013, 8.05
2020-03-09, 6.813227615, 3.886244535, 8.05
2020-03-10, 6.917470894, 3.88749671, 8.05
2020-03-11, 6.800663195, 3.885859013, 8.05
2020-03-12, 6.803212605, 3.890676975, 8.05
2020-03-13, 6.81387373, 3.890580654, 8.05
2020-03-14, 6.830095015, 3.893955231, 8.05
2020-03-15, 6.846628389, 3.893955231, 8.05
2020-03-16, 6.847145996, 3.891062737, 8.05
2020-03-17, 6.847924433, 3.889327765, 8.05
2020-03-18, 6.88082715, 3.905055761, 8.05
2020-03-19, 6.951480827, 3.909501314, 8.05
2020-03-20, 6.967595539, 3.903510332, 8.05
2020-03-21, 6.970989904, 3.896077394, 8.05
2020-03-22, 6.982186041, 3.893183947, 8.05
2020-03-23, 7.009187422, 3.878927469, 8.05
2020-03-24, 7.017429314, 3.863166571, 8.05
2020-03-25, 7.050701342, 3.858560801, 8.05
2020-03-26, 7.062063417, 3.847731113, 8.05
2020-03-27, 7.085901461, 3.838736296, 8.05
2020-03-28, 7.194304667, 3.85242486, 8.05
2020-03-29, 7.23269125, 3.844380379, 8.05
2020-03-30, 7.248805008, 3.826126337, 8.05
2020-03-31, 7.260299406, 3.810589314, 8.05
2020-04-01, 7.296582184, 3.813541174, 8.05
2020-04-02, 7.318358383, 3.816303968, 8.05
2020-04-03, 7.338040791, 3.813541174, 8.05
2020-04-04, 7.338651857, 3.813827038, 8.05
2020-04-05, 7.337982378, 3.813922167, 8.05
2020-04-06, 7.333475552, 3.812969685, 8.05
2020-04-07, 7.336164675, 3.816875696, 8.05
2020-04-08, 7.339408121, 3.819735289, 8.05
2020-04-09, 7.346068106, 3.81887722, 8.05
2020-04-10, 7.346423349, 3.814684391, 8.05
2020-04-11, 7.344399414, 3.811731815, 8.05
2020-04-12, 7.416142902, 3.853574991, 8.05
2020-04-13, 8.396698437, 3.95655632, 8.05
2020-04-14, 8.392576895, 3.912402153, 8.05
2020-04-15, 8.423127613, 3.881911039, 8.05
2020-04-16, 8.429807625, 3.856930256, 8.05
2020-04-17, 8.419923267, 3.84686923, 8.05
2020-04-18, 8.401758871, 3.834052324, 8.05
2020-04-19, 8.373282156, 3.823263884, 8.05
2020-04-20, 8.346165857, 3.814970016, 8.05
2020-04-21, 8.370804987, 3.813541174, 8.05
2020-04-22, 8.380994997, 3.811636448, 8.05
2020-04-23, 8.441864691, 3.824885845, 8.05
2020-04-24, 8.531241379, 3.839596748, 8.05
2020-04-25, 8.578979216, 3.854150057, 8.05
2020-04-26, 8.69242569, 3.883547783, 8.05
2020-04-27, 8.753899536, 3.879408598, 8.05
2020-04-28, 8.788546047, 3.876522541, 8.05
2020-04-29, 8.812165699, 3.862302542, 8.05
2020-04-30, 9.235922298, 3.953149319, 8.05
2020-05-01, 9.386558971, 3.908631325, 8.05
2020-05-02, 9.460930786, 3.885762691, 8.05
2020-05-03, 9.548585854, 3.880659819, 8.05
2020-05-04, 9.604171715, 3.863742352, 8.05
2020-05-05, 9.642476044, 3.850029707, 8.05
