This was downloaded from Data Portal using Data View - in order to get wtihdrawals from entire year.,,,,,,,,,
"But there may be a one day shift! - a legacy of Sarah's ""yesterday's withdrawals"".",,,,,,,,,
I have edited to make the headings and time series order match that now in the automated withdrawal file produced by Data Portal.,,,,,,,,,
"Adding the blank rows below to match the automated withdrawal file, which has 14 lines of descriptive text.",,,,,,,,,
text,,,,,,,,,
text,,,,,,,,,
text,,,,,,,,,
text,,,,,,,,,
text,,,,,,,,,
text,,,,,,,,,
text,,,,,,,,,
text,,,,,,,,,
text,,,,,,,,,
text,,,,,,,,,
DateTime,FW_POT,WSSC_POT,WA_GF,WA_LF,LW_POT,LW_FW,FW_OC,WSSC_PA,LW_BR
2020-01-01,59.46,116.939,124.92,0, , ,79.34,38.2, 
2020-01-02,65.12,108.441,140.62,0, , ,68.33,38.7, 
2020-01-03,70.88,129.474,130.3,0, , ,61.61,39.22, 
2020-01-04,61.62,105.999,123.83,0, , ,71.46,39.73, 
2020-01-05,58.85,112.104,115.29,0, , ,71.3,40.05, 
2020-01-06,59.27,115.583,110.21,0, , ,82.94,39.86, 
2020-01-07,58.92,116.618,134.96,0, , ,82.6,39.91, 
2020-01-08,57.82,110.768,129.58,0, , ,74.58,39.95, 
2020-01-09,59.16,119.531,96.34,0, , ,75.3,40.06, 
2020-01-10,59.82,119.85,77.17,0, , ,74.87,40.02, 
2020-01-11,60.44,105.193,125.63,0, , ,78.79,39.95, 
2020-01-12,58.73,116.686,127,0, , ,72.9,39.94, 
2020-01-13,60.9,120.974,120.54,0, , ,84.78,40.03, 
2020-01-14,64.48,108.809,135.25,0, , ,76.67,39.97, 
2020-01-15,63.02,107.856,120.08,0, , ,71.11,40.26, 
2020-01-16,62.29,108.829,123.5,0, , ,70.58,40.14, 
2020-01-17,77.21,107.722,135.63,0, , ,57.15,39.51, 
2020-01-18,70.82,108.993,121.25,0, , ,57.78,39.55, 
2020-01-19,83.99,104.842,122.46,0, , ,57.93,39.59, 
2020-01-20,71.69,112.196,119.5,0, , ,59.57,40.02, 
2020-01-21,75.18,107.806,110.04,0, , ,61.52,40.22, 
2020-01-22,62.7,109.412,137.21,0, , ,87.93,46.51, 
2020-01-23,61.9,97.379,127.67,0, , ,70.2,49.46, 
2020-01-24,62.12,97.732,118.63,0, , ,72.46,49.54, 
2020-01-25,60.81,96.559,133.63,0, , ,76.7,49.85, 
2020-01-26,59.35,85.899,123.25,0, , ,71.1,52.15, 
2020-01-27,60.2,97.726,119,0, , ,76.38,58.73, 
2020-01-28,61.83,97.907,124.04,0, , ,75.3,53.4, 
2020-01-29,61.61,89.209,130.38,0, , ,79.67,53.53, 
2020-01-30,60.85,88.868,119.38,0, , ,71.07,55.05, 
2020-01-31,57.9,95.397,131.88,0, , ,71,50.51, 
2020-02-01,57.96,95.099,120.83,0, , ,76.85,54.16, 
2020-02-02,57.46,89.455,124.67,0, , ,77.81,58.74, 
2020-02-03,60.48,91.866,126.83,0, , ,79.51,58.88, 
2020-02-04,59.64,105.446,128.42,0, , ,73.8,54.42, 
2020-02-05,58.22,100.597,122.38,0, , ,73.07,39.92, 
2020-02-06,58.19,109.34,128.79,0, , ,72.38,35.15, 
2020-02-07,58.42,113.457,122.08,0, , ,70.51,35.15, 
2020-02-08,60.55,95.151,121.33,0, , ,72.09,49.27, 
2020-02-09,58.49,88.004,122.79,0, , ,68.58,58.68, 
2020-02-10,61.98,87.236,120.08,0, , ,82.99,58.76, 
2020-02-11,61.64,93.939,123.33,0, , ,68.72,57.18, 
2020-02-12,60.18,90.502,125.21,0, , ,69.17,55.94, 
2020-02-13,63.47,89.95,118.58,0, , ,66.45,57.76, 
2020-02-14,59.78,82.428,122.88,0, , ,66.84,57.31, 
2020-02-15,59.4,84.896,117.58,0, , ,70.03,57.6, 
2020-02-16,59.77,89.02,123.5,0, , ,68.7,58.88, 
2020-02-17,60.32,94.688,113.67,0, , ,71.35,58.82, 
2020-02-18,60.95,89.189,115.33,0, , ,72.41,57.67, 
2020-02-19,59.98,93.406,128.08,0, , ,77.67,57.16, 
2020-02-20,59.97,90.433,117.58,0, ,8.83,66.51,55.71,5.91
2020-02-21,59.97,95.869,123.13,0, ,9.71,67.67,57.03,4.96
2020-02-22,59.98,89.718,126.67,0, , ,71.22,57.83, 
2020-02-23,59.64,90.498,123.71,0, , ,70.18,58, 
2020-02-24,60.24,90.123,111.33,0,9.6,11.06,80.85,57.67,4.87
2020-02-25,63.22,88.843,129.96,0,9.91,10.35,69.31,57.65,6.05
2020-02-26,59.97,91.445,118.17,0, ,8.88,63.92,57.77,5.76
2020-02-27,60.87,87.798,126.88,0, ,8.94,65.58,53.94,5.33
2020-02-28,60.45,87.74,142.88,0, ,9.38,70.28,56.93,4.48
2020-02-29,60.34,90.402,151.55,0, , ,67.56,56.7, 
2020-03-01,60.36,91.169,123.63,0,9.82,9.94,69.31,56.6,5.66
2020-03-02,60.28,90.893,122.9166667,0,9.99,10.23,73.44,56.73,5.82
2020-03-03,60.35,90.852,116.2133333,0, , ,75.75,56.81, 
2020-03-04,60.42,91.245,121.63,0, ,9.55,70.58,56.83,6.21
2020-03-05,58.74,91.076,125.835,0,10.05,9.47,68.82,56.77,5.93
2020-03-06,57.02,90.61,141.4183333,0, ,9.62,69.17,56.73,6.73
2020-03-07,60.26,90.743,133.04,0, , ,73.29,57.06, 
2020-03-08,60.47,85.824,124.8316667,0,9.77,10.44,70.6,58.98,6.03
2020-03-09,60.57,91.248,130.4966667,0, , ,78.39,56.15, 
2020-03-10,60.54,90.934,131.8316667,0,9.74,10.75,82.54,57.63,5.41
2020-03-11,62.25,93.259,136.88,0,9.84,10.33,71.53,57.68,5.54
2020-03-12,64.71,103.303,123.33,0, , ,76.37,57.83, 
2020-03-13,61.84,92.882,133.415,0,10.31,10.68,69.89,58.28,5.41
2020-03-14,60.19,93.253,135.2133333,0,10.15,10.57,68.91,58.32,5.08
2020-03-15,60.24,92.959,126.4966667,0,9.36,11.26,76.96,50.89,5.36
2020-03-16,60.33,98.445,123.92,0,9.57,10.54,80.1,49.31,5.76
2020-03-17,61.92,98.589,120.8733333,0,10.02,10.22,71.94,54.93,6.25
2020-03-18,62.51,98.038,121.5383333,0,9.75,11.33,76.96,53.49,6.23
2020-03-19,61.15,97.789,122.58,0,10.8,10.36,73.44,54.88,5.49
2020-03-20,61.15,93.03,120.46,0,9.97,12.11,71.33,53.38,5.64
2020-03-21,57.95,93.766,136.6716667,0,10.09,12.2,82.35,58.29,4.73
2020-03-22,56.89,94.079,113.9633333,0, , ,68.37,58.21, 
2020-03-23,61.22,94.549,117.2083333,0,9.94,10.75,74.91,58.33,6.06
2020-03-24,60.15,94.299,110.875,0,6.68,17.53,79.15,51.68,6.16
2020-03-25,61.94,94.399,122.3333333,0,4.4,19.2,83.23,49.37,6.02
2020-03-26,62.43,94.913,118.1716667,0,3.83,18.29,78.59,48.97,6.03
2020-03-27,60.2,94.432,111.7883333,0,7.41,14.62,72.66,53.12,5.83
2020-03-28,60.23,94.281,127.4983333,0,9.85,11.77,73.48,58.57,5.49
2020-03-29,60.12,94.454,118.045,0,10.06,9.33,70.65,49.88,5.86
2020-03-30,60.25,94.675,110.005,0, , ,62.13,49.74, 
2020-03-31,62.14,94.522,115.7516667,0,10.48,12.28,72.99,49.41,6.13
2020-04-01,59.94,94.876,122.9566667,0,10.45,12.23,71.7,57.1,6.62
2020-04-02,59.59,94.343,119.37,0,10.26,11.16,67.66,51.34,6.46
2020-04-03,61.74,94.403,117.79,0,10.42, ,73.82,47.97,6.21
2020-04-04,62.84,94.09,126.88,0, , ,79.64,50.16, 
2020-04-05,63.39,93.778,118.75,0, , ,63.51,57.69, 
2020-04-06,63.22,93.885,109.08,0,9.74,11.64,81.14,57.65,6.19
2020-04-07,25.19,94.072,112.46,0,10.1,13.66,74.4,57.7,5.77
2020-04-08,62.21,92.39,118.96,0,13.28,10.43,80.82,57.64,6.1
2020-04-09,61.99,94.656,124.34,0,13.61,10.04,76.15,57.82,6.11
2020-04-10,62.19,86.15,122.92,0,10.36,13.11,73.02,49.97,6.43
2020-04-11,62.07,92.875,112.41,0,10.53,13.15,75.01,47.02,6.08
2020-04-12,62.16,92.71,110.91,0,10.12,12.8,69.82,48.88,5.91
2020-04-13,60.89,92.603,122.54,0,11.98,9.57,81.72,56.94,6.31
2020-04-14,59.85,94.422,119.79,0,9.52,10.04,65.81,47.05,6.38
2020-04-15,60.94,87.97,121.05,0,12.69,10.14,72.52,47.07,7.07
2020-04-16,61.56,89.177,123.67,0,12.27,10.44,76.64,58.23,7.3
2020-04-17,60.86,89.707,118.91,0,10.58,12.7,69.34,49.48,7.11
2020-04-18,60.99,90.128,116.58,0,9.83,12.6,71.47,51.25,6.82
2020-04-19,60.27,91.076,112.87,0,10.24,11.01,73.88,58.57,6.33
2020-04-20,59.9,91.073,116,0,12.33,9.93,73.43,55.31,5.83
2020-04-21,61.82,93.046,125.12,0,10.35,13.55,77.11,48.03,5.83
2020-04-22,61.34,103.721,124.79,0,12.91,10.65,71.53,50.21,6
2020-04-23,61.33,87.553,125.33,0,10.43,13.55,82.42,45.69,6.77
2020-04-24,59.92,89.6,118.46,0,10.16,12.43,77.91,56.31,6
2020-04-25,58.18,89.132,115.87,0, ,11.6,65.77,57.18,6.87
