date,lfalls,seneca,goose,monoc_jug,por,shen_mill,antietam,opequon,conoco,hancock,cacapon,sideling,pawpaw,town,sbr,patterson,nbp_cumb,wills,luke,barnum,bloomington,kitzmiller,barton,jrr_level,sav_level,edwards_level,bennett,unity,cattail,hawlings,cedar
2020-01-01,1578.115,31,41,389,1495,302,66,37,143,624,48,11,546,16,129,21,305,77,216,150,48,99,22,NA,NA,4.83,59.9,33.9,23.3,24,68.4
2020-01-02,1332.115,28,35,291,1476,297,63,33,125,602,50,10,529,15,126,21,297,70,214,150,48,88,19,NA,NA,4.65,51.9,30.8,21.5,21.8,51.5
2020-01-03,1226.115,31,34,263,1414,300,64,33,119,588,48,9,518,14,121,21,294,68,215,150,48,94,18,NA,NA,4.57,56.2,32.6,23.1,23.4,58.3
2020-01-04,1237.115,40,46,302,1408,300,66,34,131,577,47,10,524,16,119,21,311,88,216,150,48,116,19,NA,NA,4.57,70.5,38.4,26.9,30.5,119
2020-01-05,1380.115,40,73,344,1389,305,66,36,138,588,46,11,546,18,120,20,319,95,190,136,36,165,20,NA,NA,4.67,67.1,35.4,23.9,31.2,187
2020-01-06,1254.115,31,62,264,1397,308,63,35,127,599,46,10,518,17,124,20,278,95,166,123,30,127,19,NA,NA,4.59,56.7,31.1,21.6,24.5,99.3
2020-01-07,1181.115,29,53,230,1414,311,64,34,119,563,45,10,498,16,133,20,268,88,166,123,30,109,19,NA,NA,4.56,53.4,30.3,21.5,23.4,78.4
2020-01-08,1164.115,31,51,225,1375,316,63,33,116,557,45,10,496,14,135,19,259,79,165,123,30,93,17,NA,NA,4.5,53,31.2,22.4,24.5,83.8
2020-01-09,1091.115,28,48,211,1336,311,61,32,107,538,44,8,476,12,136,19,241,66,164,123,30,88,13,NA,NA,4.44,48.7,29,21,23.2,87.4
2020-01-10,1016.115,27,44,188,1285,300,59,32,97,518,41,8,459,13,129,19,234,60,161,123,28,94,13,NA,NA,4.34,47.4,28.5,21.1,22,78.1
2020-01-11,937.115,27,45,189,1246,300,58,33,101,504,43,8,448,14,128,22,239,63,168,123,31,173,16,NA,NA,4.29,49,28.9,21.4,21.8,91.4
2020-01-12,1066.115,43,70,1089,1420,328,116,103,192,638,85,41,952,70,406,121,420,159,194,125,38,426,58,NA,NA,4.33,81.6,42.4,32,36.1,310
2020-01-13,2276.115,32,86,790,1890,384,117,97,231,1747,216,62,1593,75,664,106,462,160,288,195,76,271,57,NA,NA,5.62,67.5,36.1,24.4,26.6,166
2020-01-14,2500.115,30,70,445,3136,448,94,64,194,1747,194,41,1445,52,535,80,554,147,356,235,90,227,43,NA,NA,5.66,60,33.8,22.9,24.4,121
2020-01-15,3200.115,29,68,375,3248,689,90,55,177,1607,157,32,1338,45,434,65,543,131,347,229,90,221,34,NA,NA,6.41,57.5,33.1,22.2,23.7,109
2020-01-16,3088.115,28,60,330,3052,697,84,48,158,1425,133,26,1173,39,356,55,510,116,344,228,90,204,29,NA,NA,6.15,53.1,31.7,21.2,22.5,86.3
2020-01-17,2724.115,26,51,276,2741,613,79,42,138,1249,109,20,1028,32,294,45,473,97,342,228,89,177,23,NA,NA,5.84,47,30.1,19.6,20.6,65.3
2020-01-18,2360.115,27,46,239,2428,546,76,39,127,1106,93,17,930,27,254,41,468,94,342,234,82,187,23,NA,NA,5.59,48.3,31.8,21.2,22.3,54.7
2020-01-19,2186.115,43,57,294,2212,496,80,44,135,1064,83,20,1014,37,253,57,563,122,353,232,66,459,72,NA,NA,5.43,69.9,44.8,28.6,33,84.1
2020-01-20,2007.115,31,53,316,2117,470,76,45,129,1198,82,18,1100,38,283,62,521,94,350,232,83,278,55,NA,NA,5.36,55.2,36.3,22,25.1,63
2020-01-21,1870.115,27,41,233,2181,445,72,40,102,1156,80,14,997,27,251,54,490,70,353,232,91,220,35,NA,NA,5.3,45,31.6,20.4,22.2,46.9
2020-01-22,1864.115,26,39,196,2097,414,69,36,103,1044,65,15,902,27,216,47,465,68,350,231,91,182,30,NA,NA,5.21,40.5,31.1,19.9,21.7,40.6
2020-01-23,1696.115,25,40,187,1938,389,68,34,103,955,60,14,846,25,197,40,456,71,347,231,90,175,24,NA,NA,5.05,41.8,30.4,19.5,20.8,39
2020-01-24,1539.115,25,43,190,1814,364,67,34,104,924,66,14,815,26,190,36,442,74,347,230,90,166,20,NA,NA,4.93,44.6,31.8,20.1,20.8,37.6
