date,lfalls,seneca,goose,monoc_jug,por
2020-07-18 0:00,196.115,21,6,44,711
2020-07-18 1:00,192.115,20,6,44,717
2020-07-18 2:00,185.115,20,6,44,725
2020-07-18 3:00,185.115,20,6,43,729
2020-07-18 4:00,171.115,20,6,43,731
2020-07-18 5:00,161.115,20,6,43,736
2020-07-18 6:00,154.115,20,6,42,736
2020-07-18 7:00,150.115,21,6,42,739
2020-07-18 8:00,143.115,21,6,41,743
2020-07-18 9:00,136.115,21,6,41,736
2020-07-18 10:00,136.115,20,6,41,736
2020-07-18 11:00,133.115,19,6,41,736
2020-07-18 12:00,126.115,18,6,40,732
2020-07-18 13:00,126.115,17,6,40,728
2020-07-18 14:00,108.115,17,6,40,723
2020-07-18 15:00,112.115,17,6,39,719
2020-07-18 16:00,108.115,17,6,39,717
2020-07-18 17:00,97.115,18,6,39,717
2020-07-18 18:00,97.115,18,6,40,714
2020-07-18 19:00,97.115,21,6,40,705
2020-07-18 20:00,90.115,22,6,41,701
2020-07-18 21:00,90.115,23,6,41,703
2020-07-18 22:00,90.115,22,6,40,703
2020-07-18 23:00,83.115,24,6,40,703
2020-07-19 0:00,83.115,23,6,40,705
2020-07-19 1:00,83.115,22,6,40,711
2020-07-19 2:00,87.115,22,6,40,715
2020-07-19 3:00,90.115,20,6,40,717
2020-07-19 4:00,97.115,20,6,40,723
2020-07-19 5:00,97.115,20,6,40,725
2020-07-19 6:00,94.115,19,6,40,725
2020-07-19 7:00,97.115,19,6,40,725
2020-07-19 8:00,97.115,18,6,39,725
2020-07-19 9:00,97.115,18,6,39,729
2020-07-19 10:00,97.115,17,6,39,731
2020-07-19 11:00,97.115,16,6,39,736
2020-07-19 12:00,97.115,15,6,39,743
2020-07-19 13:00,100.115,15,6,39,753
2020-07-19 14:00,100.115,14,6,40,765
2020-07-19 15:00,97.115,14,6,41,771
2020-07-19 16:00,97.115,14,6,41,787
2020-07-19 17:00,103.115,15,6,42,802
2020-07-19 18:00,94.115,15,6,43,816
2020-07-19 19:00,87.115,18,6,43,825
2020-07-19 20:00,83.115,19,6,44,832
2020-07-19 21:00,83.115,20,6,45,844
