DateTime,FW_POT,WSSC_POT,WA_GF,WA_LF,LW_POT,LW_FW,FW_OC,WSSC_PA,LW_BR,tot
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
DateTime,FW_POT,WSSC_POT,WA_GF,WA_LF,LW_POT,LW_FW,FW_OC,WSSC_PA,LW_BR,#VALUE!
2020-01-01,77,152,162,0,NA,NA,103,50,NA,391
2020-01-02,85,141,183,0,NA,NA,89,50,NA,409
2020-01-03,92,168,169,0,NA,NA,80,51,NA,429
2020-01-04,80,138,161,0,NA,NA,93,52,NA,379
2020-01-05,77,146,150,0,NA,NA,93,52,NA,373
2020-01-06,77,150,143,0,NA,NA,108,52,NA,370
2020-01-07,77,152,175,0,NA,NA,107,52,NA,404
2020-01-08,75,144,168,0,NA,NA,97,52,NA,387
2020-01-09,77,155,125,0,NA,NA,98,52,NA,357
2020-01-10,78,156,100,0,NA,NA,97,52,NA,334
2020-01-11,79,137,163,0,NA,NA,102,52,NA,379
2020-01-12,76,152,165,0,NA,NA,95,52,NA,393
2020-01-13,79,157,157,0,NA,NA,110,52,NA,393
2020-01-14,84,141,176,0,NA,NA,100,52,NA,401
2020-01-15,82,140,156,0,NA,NA,92,52,NA,378
2020-01-16,81,141,161,0,NA,NA,92,52,NA,383
2020-01-17,100,140,176,0,NA,NA,74,51,NA,416
2020-01-18,92,142,158,0,NA,NA,75,51,NA,392
2020-01-19,109,136,159,0,NA,NA,75,51,NA,404
2020-01-20,93,146,155,0,NA,NA,77,52,NA,394
2020-01-21,98,140,143,0,NA,NA,80,52,NA,381
2020-01-22,82,142,178,0,NA,NA,114,60,NA,402
2020-01-23,80,127,166,0,NA,NA,91,64,NA,373
2020-01-24,81,127,154,0,NA,NA,94,64,NA,362
2020-01-25,79,126,174,0,NA,NA,100,65,NA,379
2020-01-26,77,112,160,0,NA,NA,92,68,NA,349
2020-01-27,78,127,155,0,NA,NA,99,76,NA,360
2020-01-28,80,127,161,0,NA,NA,98,69,NA,368
2020-01-29,80,116,169,0,NA,NA,104,70,NA,365
2020-01-30,79,116,155,0,NA,NA,92,72,NA,350
2020-01-31,75,124,171,0,NA,NA,92,66,NA,370
2020-02-01,75,124,157,0,NA,NA,100,70,NA,356
2020-02-02,75,116,162,0,NA,NA,101,76,NA,353
2020-02-03,79,119,165,0,NA,NA,103,77,NA,363
2020-02-04,78,137,167,0,NA,NA,96,71,NA,382
2020-02-05,76,131,159,0,NA,NA,95,52,NA,366
2020-02-06,76,142,167,0,NA,NA,94,46,NA,385
2020-02-07,76,147,159,0,NA,NA,92,46,NA,382
2020-02-08,79,124,158,0,NA,NA,94,64,NA,361
2020-02-09,76,114,160,0,NA,NA,89,76,NA,350
2020-02-10,81,113,156,0,NA,NA,108,76,NA,350
2020-02-11,80,122,160,0,NA,NA,89,74,NA,362
2020-02-12,78,118,163,0,NA,NA,90,73,NA,359
2020-02-13,83,117,154,0,NA,NA,86,75,NA,354
2020-02-14,78,107,160,0,NA,NA,87,75,NA,345
2020-02-15,77,110,153,0,NA,NA,91,75,NA,340
