date,kitzmiller,barnum,barton,bloomington,luke,por,monoc_jug,goose,seneca,lfalls
2021-05-19 00:00:00,251,280,39.7,97.1,391,5570,404,106,80,7110
2021-05-19 01:00:00,251,280,39.2,97.1,389.75,5555,404,106,79.81666666666666,7050
2021-05-19 02:00:00,251,280,38.7,97.1,387.25,5540,403,106,80.18333333333334,7090
2021-05-19 03:00:00,248,280,38.7,97.1,388.5,5540,400,106,81.27499999999999,7030
2021-05-19 04:00:00,246.5,280,38.7,97.1,388.5,5540,397,106,79.29166666666667,6990
2021-05-19 05:00:00,245,280,38.7,97.1,388.5,5540,396,106,73.96666666666667,6950
2021-05-19 06:00:00,245,280,37.6,97.1,387.25,5570,395,106,70.63333333333333,6950
2021-05-19 07:00:00,245,280,37.6,97.1,387.25,5592.5,392,106,68.96666666666667,6910
2021-05-19 08:00:00,245,280,37.6,74.05,388.5,5647.5,392,106,64.9,6870
2021-05-19 09:00:00,242.75,280,37.6,61.95,387.25,5662.5,394,106,63,6870
2021-05-19 10:00:00,242,280,37.35,61.7,376.5,5700,396,106,62.85,6870
2021-05-19 11:00:00,241.25,280,36.6,61.7,353.25,5700,400,106,63.325,6830
2021-05-19 12:00:00,241.25,280,36.6,61.7,352,5730,399,106,67.64166666666667,6790
2021-05-19 13:00:00,239.75,281,36.6,61.7,350,5740,395,106,72.3,6790
2021-05-19 14:00:00,241.25,281,36.6,61.7,352,5720,392,106,77.33333333333333,6790
2021-05-19 15:00:00,242,280,36.6,61.7,353,5677.5,392,106,78.55000000000001,6790
2021-05-19 16:00:00,239.75,280,36.6,61.7,349,5620,392,106,76.975,6790
2021-05-19 17:00:00,239,279,36.6,61.7,350,5585,392,106,76.8,6770
2021-05-19 18:00:00,239,280,35.6,61.7,353,5530,390,106,79.60833333333333,6770
2021-05-19 19:00:00,238.25,280,35.6,61.7,351,5472.5,388,106,94.99166666666666,6710
2021-05-19 20:00:00,236,280,35.6,61.7,349,5440,388,106,96.7,6710
