date,lfalls,seneca,goose,monoc_jug,por
2021-01-24T01:00:00Z,6450,102,219,434,NA
2021-01-24T02:00:00Z,6410,101,219,433,5525
2021-01-24T03:00:00Z,6390,98,219,430,5480
2021-01-24T04:00:00Z,6350,99,215,429,5500
2021-01-24T05:00:00Z,6330,100,215,425,5462
2021-01-24T06:00:00Z,6290,99,215,426,5497
2021-01-24T07:00:00Z,6290,97,214,429,5480
2021-01-24T08:00:00Z,6290,97,211,429,5460
2021-01-24T09:00:00Z,6290,94,211,429,5462
2021-01-24T10:00:00Z,6192,92,211,431,5460
2021-01-24T11:00:00Z,6120,90,211,431,5450
2021-01-24T12:00:00Z,6080,88,211,431,5448
2021-01-24T13:00:00Z,6138,85,211,431,5430
2021-01-24T14:00:00Z,6230,85,209,429,5432
2021-01-24T15:00:00Z,6210,83,207,430,5410
2021-01-24T16:00:00Z,6175,83,207,426,5410
2021-01-24T17:00:00Z,6175,83,207,423,5400
2021-01-24T18:00:00Z,6140,84,207,420,5410
2021-01-24T19:00:00Z,6158,86,207,418,5380
2021-01-24T20:00:00Z,6140,94,207,413,5395
2021-01-24T21:00:00Z,6140,100,206,408,5388
2021-01-24T22:00:00Z,6140,102,203,404,5388
2021-01-24T23:00:00Z,6140,102,199,400,5380
2021-01-25T00:00:00Z,6120,102,197,399,5370
2021-01-25T01:00:00Z,6080,99,197,396,5360
2021-01-25T02:00:00Z,6060,98,195,395,5340
2021-01-25T03:00:00Z,6060,97,193,392,5340
2021-01-25T04:00:00Z,6020,97,193,392,5340
2021-01-25T05:00:00Z,6060,98,193,392,5340
2021-01-25T06:00:00Z,6020,100,193,391,5318
2021-01-25T07:00:00Z,5980,99,195,389,5310
2021-01-25T08:00:00Z,6000,99,198,388,5310
2021-01-25T09:00:00Z,6000,95,202,388,5280
2021-01-25T10:00:00Z,6000,94,206,388,5280
2021-01-25T11:00:00Z,5980,90,208,390,5265
2021-01-25T12:00:00Z,5980,90,211,392,5250
2021-01-25T13:00:00Z,5980,87,211,396,5250
2021-01-25T14:00:00Z,5962,85,211,400,5250
2021-01-25T15:00:00Z,5980,84,211,400,5220
2021-01-25T16:00:00Z,5980,86,211,400,5210
2021-01-25T17:00:00Z,5962,88,211,404,5195
2021-01-25T18:00:00Z,5858,91,211,404,5180
2021-01-25T19:00:00Z,5788,95,211,404,5180
2021-01-25T20:00:00Z,5805,100,211,404,5158
2021-01-25T21:00:00Z,5840,98,211,405,5150
2021-01-25T22:00:00Z,5910,97,211,408,5150
2021-01-25T23:00:00Z,5910,96,211,409,5128
2021-01-26T00:00:00Z,5910,98,211,412,5105
2021-01-26T01:00:00Z,5892,97,211,414,5098
2021-01-26T02:00:00Z,5892,97,211,416,5098
2021-01-26T03:00:00Z,5892,97,211,420,5090
2021-01-26T04:00:00Z,5910,100,211,420,5090
2021-01-26T05:00:00Z,5875,104,215,420,5120
2021-01-26T06:00:00Z,5910,104,215,420,5142
2021-01-26T07:00:00Z,5892,104,219,420,5150
2021-01-26T08:00:00Z,5840,102,219,420,5150
2021-01-26T09:00:00Z,5840,101,219,420,5165
2021-01-26T10:00:00Z,5858,98,223,420,5165
